"Howard","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","4","0","0","0","0","0","4","13","BOARD ACTION","0","0","0","0","0","0","0"
"BY MAIL","171","99","2","1","81","5","359","30","COUNTY TRANSFER - OUT","165","99","1","2","54","2","323"
"DESIGNATED STATE AGENCIES","0","2","0","0","0","0","2","0","CRIMINAL CONVICTION","0","0","0","0","1","0","1"
"ELDERLY / DISABLED","0","0","0","0","1","0","1","2","DEATH NOTICE","119","78","1","0","33","4","235"
"FROM ANOTHER BOARD","2","4","0","0","4","0","10","4","DUPLICATE","0","0","0","0","0","0","0"
"PROVISIONAL BALLOT","8","2","0","0","3","0","13","4","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0"
"IN PERSON","8","4","0","0","4","0","16","3","MENTAL INCOMPETENCY","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","270","127","3","3","169","3","575","113","MOVED OUT OF STATE","11","13","0","1","9","0","34"
"NVRA BY MAIL","0","1","0","0","0","0","1","1","OTHER","4","0","0","1","3","0","8"
"OTHER MEANS","11","4","0","0","6","0","21","92","VOTER REQUEST","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","0","0","0","0","0","0","0"
"SOCIAL SERVICES","6","2","0","0","2","0","10","0","","","","","","","",""
"VOLUNTEER","21","3","0","0","9","3","36","0","","","","","","","",""
"TOTAL","501","248","5","4","279","11","1,048","262","TOTAL","299","190","2","4","100","6","601"
