"Baltimore Co.","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","1","0","0","0","2","1","4","4","BOARD ACTION","0","0","0","0","0","0","0"
"BY MAIL","294","94","1","4","107","3","503","5","COUNTY TRANSFER-OUT","704","220","8","2","173","13","1,120"
"DESIGNATED STATE AGENCIES","5","2","0","0","4","0","11","0","CRIMINAL CONVICTION","17","5","0","1","6","0","29"
"ELDERLY / DISABLED","0","1","0","0","0","0","1","0","DEATH NOTICE","541","187","0","1","43","10","782"
"FROM ANOTHER BOARD","13","3","0","0","3","0","19","0","DUPLICATE","77","42","1","1","21","3","145"
"PROVISIONAL BALLOT","2","1","0","0","0","0","3","0","MAIL VERIFICATION (NVRA)","530","187","5","5","217","7","951"
"IN PERSON","12","2","0","0","1","0","15","1","MENTAL INCOMPETENCY","1","0","0","0","0","0","1"
"MOTOR VEHICLE ADMINISTRATION","1,314","443","9","13","532","2","2,313","81","MOVED OUT OF STATE","171","134","1","0","79","5","390"
"NVRA BY MAIL","67","25","0","0","34","1","127","0","OTHER","23","6","0","0","15","0","44"
"OTHER MEANS","113","22","0","2","25","2","164","208","VOTER REQUEST","1","1","0","0","0","0","2"
"RECRUITING","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","105","34","1","0","43","1","184"
"SOCIAL SERVICES","17","2","0","0","12","0","31","6","","","","","","","",""
"VOLUNTEER","11","2","1","0","10","0","24","0","","","","","","","",""
"TOTAL","1,849","597","11","19","730","9","3,215","305","TOTAL","2,170","816","16","10","597","39","3,648"
