"Prince George's","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","",""
"","DEM","REP","UNAF","OTH","TOTAL","DUPS","","DEM","REP","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","3","0","0","0","3","5","BOARD ACTION","0","0","0","0","0"
"BY MAIL","404","65","73","6","548","96","COUNTY TRANSFER - OUT","653","136","140","40","969"
"DESIGNATED STATE AGENCIES","0","0","0","0","0","0","CRIMINAL CONVICTION","1","0","1","0","2"
"ELDERLY / DISABLED","0","0","0","0","0","0","DEATH NOTICE","262","34","11","21","328"
"FROM ANOTHER BOARD","0","0","0","0","0","2","DUPLICATE","91","9","10","1","111"
"PROVISIONAL BALLOT","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","0","0","0","0","0"
"IN PERSON","2","0","0","0","2","0","MENTAL INCOMPETENCY","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","1,731","180","480","27","2,418","20","MOVED OUT OF STATE","138","38","36","13","225"
"NVRA BY MAIL","1","0","0","0","1","0","OTHER","22","1","10","1","34"
"OTHER MEANS","40","12","12","1","65","26","VOTER REQUEST","1","0","0","0","1"
"RECRUITING","0","0","0","0","0","0","CONFIRMATION MAIL","2","0","0","0","2"
"SOCIAL SERVICES","24","0","6","0","30","7","","","","","",""
"VOLUNTEER","5","0","0","0","5","0","","","","","",""
"TOTAL","2,210","257","571","34","3,072","156","TOTAL","1,170","218","208","76","1,672"
