"Queen Anne's","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","",""
"","DEM","REP","UNAF","OTH","TOTAL","DUPS","","DEM","REP","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","BOARD ACTION","0","0","0","0","0"
"BY MAIL","8","9","8","0","25","0","COUNTY TRANSFER - OUT","23","23","12","0","58"
"DESIGNATED STATE AGENCIES","0","1","0","0","1","0","CRIMINAL CONVICTION","0","1","0","0","1"
"ELDERLY / DISABLED","0","0","0","0","0","0","DEATH NOTICE","0","0","0","0","0"
"FROM ANOTHER BOARD","1","2","3","0","6","0","DUPLICATE","2","0","1","0","3"
"PROVISIONAL BALLOT","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","0","0","0","0","0"
"IN PERSON","0","0","0","0","0","0","MENTAL INCOMPETENCY","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","44","53","29","6","132","0","MOVED OUT OF STATE","0","1","0","0","1"
"NVRA BY MAIL","9","8","5","0","22","0","OTHER","0","0","0","0","0"
"OTHER MEANS","2","4","1","1","8","35","VOTER REQUEST","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","CONFIRMATION MAIL","14","8","5","0","27"
"SOCIAL SERVICES","1","1","1","0","3","1","","","","","",""
"VOLUNTEER","0","0","0","0","0","0","","","","","",""
"TOTAL","65","78","47","7","197","36","TOTAL","39","33","18","0","90"
