"St. Mary's","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","",""
"","DEM","REP","UNAF","OTH","TOTAL","DUPS","","DEM","REP","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","2","0","0","2","0","BOARD ACTION","0","0","0","0","0"
"BY MAIL","21","22","19","0","62","5","COUNTY TRANSFER - OUT","35","21","15","2","73"
"DESIGNATED STATE AGENCIES","0","0","0","0","0","0","CRIMINAL CONVICTION","0","0","0","0","0"
"ELDERLY / DISABLED","0","0","0","0","0","0","DEATH NOTICE","39","32","4","0","75"
"FROM ANOTHER BOARD","0","0","0","0","0","1","DUPLICATE","0","0","0","0","0"
"PROVISIONAL BALLOT","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","0","0","0","0","0"
"IN PERSON","2","2","0","0","4","0","MENTAL INCOMPETENCY","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","78","76","71","3","228","34","MOVED OUT OF STATE","9","17","6","1","33"
"NVRA BY MAIL","2","4","4","0","10","2","OTHER","0","0","2","0","2"
"OTHER MEANS","1","1","2","0","4","0","VOTER REQUEST","0","1","0","0","1"
"RECRUITING","0","0","0","0","0","0","CONFIRMATION MAIL","1","0","0","0","1"
"SOCIAL SERVICES","5","0","3","0","8","0","","","","","",""
"VOLUNTEER","3","1","4","0","8","0","","","","","",""
"TOTAL","112","108","103","3","326","42","TOTAL","84","71","27","3","185"
