"Somerset","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","",""
"","DEM","REP","UNAF","OTH","TOTAL","DUPS","","DEM","REP","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","BOARD ACTION","0","0","0","0","0"
"BY MAIL","7","5","2","0","14","0","COUNTY TRANSFER - OUT","21","11","8","0","40"
"DESIGNATED STATE AGENCIES","0","0","0","0","0","0","CRIMINAL CONVICTION","1","0","1","0","2"
"ELDERLY / DISABLED","0","0","0","0","0","0","DEATH NOTICE","10","0","0","0","10"
"FROM ANOTHER BOARD","0","0","0","0","0","0","DUPLICATE","0","0","1","0","1"
"PROVISIONAL BALLOT","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","23","2","3","0","28"
"IN PERSON","0","1","0","0","1","0","MENTAL INCOMPETENCY","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","21","12","10","1","44","0","MOVED OUT OF STATE","1","1","0","0","2"
"NVRA BY MAIL","2","1","1","0","4","0","OTHER","2","1","0","0","3"
"OTHER MEANS","2","0","1","0","3","0","VOTER REQUEST","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","CONFIRMATION MAIL","0","0","0","0","0"
"SOCIAL SERVICES","0","0","0","0","0","0","","","","","",""
"VOLUNTEER","0","0","0","0","0","0","","","","","",""
"TOTAL","32","19","14","1","66","0","TOTAL","58","15","13","0","86"
