"Talbot","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","",""
"","DEM","REP","UNAF","OTH","TOTAL","DUPS","","DEM","REP","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","BOARD ACTION","0","0","0","0","0"
"BY MAIL","11","15","4","0","30","0","COUNTY TRANSFER - OUT","30","20","8","1","59"
"DESIGNATED STATE AGENCIES","0","0","0","0","0","0","CRIMINAL CONVICTION","0","0","0","0","0"
"ELDERLY / DISABLED","0","0","0","0","0","0","DEATH NOTICE","3","0","0","0","3"
"FROM ANOTHER BOARD","0","0","0","0","0","0","DUPLICATE","1","1","0","0","2"
"PROVISIONAL BALLOT","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","136","118","21","3","278"
"IN PERSON","1","0","2","0","3","0","MENTAL INCOMPETENCY","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","50","32","29","1","112","3","MOVED OUT OF STATE","5","9","8","0","22"
"NVRA BY MAIL","0","0","0","0","0","0","OTHER","5","0","2","0","7"
"OTHER MEANS","0","0","0","0","0","28","VOTER REQUEST","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","CONFIRMATION MAIL","1","0","0","0","1"
"SOCIAL SERVICES","0","0","0","0","0","0","","","","","",""
"VOLUNTEER","2","3","1","0","6","0","","","","","",""
"TOTAL","64","50","36","1","151","31","TOTAL","181","148","39","4","372"
