"Washington","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","",""
"","DEM","REP","UNAF","OTH","TOTAL","DUPS","","DEM","REP","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","BOARD ACTION","0","0","0","0","0"
"BY MAIL","19","20","15","2","56","18","COUNTY TRANSFER - OUT","32","22","14","3","71"
"DESIGNATED STATE AGENCIES","1","2","1","0","4","0","CRIMINAL CONVICTION","0","0","1","0","1"
"ELDERLY / DISABLED","0","0","0","0","0","0","DEATH NOTICE","29","20","7","0","56"
"FROM ANOTHER BOARD","0","0","0","0","0","0","DUPLICATE","2","0","3","0","5"
"PROVISIONAL BALLOT","0","1","0","0","1","0","MAIL VERIFICATION (NVRA)","0","0","0","0","0"
"IN PERSON","3","1","0","0","4","0","MENTAL INCOMPETENCY","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","110","104","76","8","298","48","MOVED OUT OF STATE","13","9","6","2","30"
"NVRA BY MAIL","3","3","5","0","11","0","OTHER","8","5","1","0","14"
"OTHER MEANS","8","14","9","1","32","3","VOTER REQUEST","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","CONFIRMATION MAIL","1","0","0","0","1"
"SOCIAL SERVICES","3","0","0","0","3","0","","","","","",""
"VOLUNTEER","0","0","0","0","0","0","","","","","",""
"TOTAL","147","145","106","11","409","69","TOTAL","85","56","32","5","178"
