"Wicomico","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","",""
"","DEM","REP","UNAF","OTH","TOTAL","DUPS","","DEM","REP","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","BOARD ACTION","0","0","0","0","0"
"BY MAIL","16","20","15","0","51","18","COUNTY TRANSFER - OUT","37","29","23","1","90"
"DESIGNATED STATE AGENCIES","0","0","0","0","0","0","CRIMINAL CONVICTION","1","0","1","0","2"
"ELDERLY / DISABLED","0","0","0","0","0","0","DEATH NOTICE","0","1","0","0","1"
"FROM ANOTHER BOARD","0","0","0","0","0","0","DUPLICATE","6","0","0","0","6"
"PROVISIONAL BALLOT","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","0","0","0","0","0"
"IN PERSON","1","1","0","0","2","0","MENTAL INCOMPETENCY","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","144","73","70","2","289","34","MOVED OUT OF STATE","2","6","4","0","12"
"NVRA BY MAIL","4","1","1","0","6","1","OTHER","3","2","4","0","9"
"OTHER MEANS","1","2","0","0","3","0","VOTER REQUEST","0","2","0","0","2"
"RECRUITING","0","0","0","0","0","0","CONFIRMATION MAIL","0","0","0","0","0"
"SOCIAL SERVICES","5","0","2","0","7","4","","","","","",""
"VOLUNTEER","2","0","0","0","2","0","","","","","",""
"TOTAL","173","97","88","2","360","57","TOTAL","49","40","32","1","122"
