"Worcester","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","",""
"","DEM","REP","UNAF","OTH","TOTAL","DUPS","","DEM","REP","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","BOARD ACTION","0","0","0","0","0"
"BY MAIL","10","12","19","1","42","0","COUNTY TRANSFER - OUT","23","12","7","1","43"
"DESIGNATED STATE AGENCIES","0","1","0","0","1","0","CRIMINAL CONVICTION","2","0","0","0","2"
"ELDERLY / DISABLED","0","0","0","0","0","0","DEATH NOTICE","2","0","0","0","2"
"FROM ANOTHER BOARD","0","1","1","0","2","0","DUPLICATE","0","1","1","0","2"
"PROVISIONAL BALLOT","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","0","0","0","0","0"
"IN PERSON","0","0","0","0","0","0","MENTAL INCOMPETENCY","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","48","55","49","5","157","26","MOVED OUT OF STATE","2","1","1","0","4"
"NVRA BY MAIL","2","2","6","0","10","1","OTHER","2","2","3","0","7"
"OTHER MEANS","1","5","2","0","8","36","VOTER REQUEST","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","CONFIRMATION MAIL","106","80","5","0","191"
"SOCIAL SERVICES","0","0","0","0","0","0","","","","","",""
"VOLUNTEER","0","0","0","0","0","0","","","","","",""
"TOTAL","61","76","77","6","220","63","TOTAL","137","96","17","1","251"
