"SUMMARY","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","",""
"","DEM","REP","UNAF","OTH","TOTAL","DUPS","","DEM","REP","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","24","6","15","0","45","102","BOARD ACTION","1","1","2","0","4"
"BY MAIL","2,498","1,062","1,092","51","4,703","974","COUNTY TRANSFER - OUT","4,163","1,566","1,155","117","7,001"
"DESIGNATED STATE AGENCIES","10","13","9","0","32","23","CRIMINAL CONVICTION","160","28","34","5","227"
"ELDERLY / DISABLED","45","1","14","0","60","24","DEATH NOTICE","969","380","130","21","1,500"
"FROM ANOTHER BOARD","24","8","9","1","42","66","DUPLICATE","201","69","59","3","332"
"PROVISIONAL BALLOT","7","4","1","0","12","26","MAIL VERIFICATION (NVRA)","3,200","1,601","1,230","136","6,167"
"IN PERSON","45","31","19","1","96","66","MENTAL INCOMPETENCY","0","0","1","0","1"
"MOTOR VEHICLE ADMINISTRATION","9,065","3,337","4,559","235","17,196","4,402","MOVED OUT OF STATE","676","502","268","32","1,478"
"NVRA BY MAIL","233","110","150","6","499","35","OTHER","89","32","47","5","173"
"OTHER MEANS","534","310","277","24","1,145","1,953","VOTER REQUEST","6","7","3","0","16"
"RECRUITING","0","0","0","0","0","0","CONFIRMATION MAIL","172","120","41","4","337"
"SOCIAL SERVICES","160","16","55","1","232","68","","","","","",""
"VOLUNTEER","78","59","56","1","194","1","","","","","",""
"TOTAL","12,723","4,957","6,256","320","24,256","7,740","TOTAL","9,637","4,306","2,970","323","17,236"
