"Allegany","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","",""
"","DEM","REP","UNAF","OTH","TOTAL","DUPS","","DEM","REP","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","BOARD ACTION","0","0","0","0","0"
"BY MAIL","3","5","2","0","10","3","COUNTY TRANSFER - OUT","12","10","6","0","28"
"DESIGNATED STATE AGENCIES","0","0","0","0","0","0","CRIMINAL CONVICTION","2","0","2","0","4"
"ELDERLY / DISABLED","0","0","1","0","1","0","DEATH NOTICE","0","3","1","0","4"
"FROM ANOTHER BOARD","0","0","0","0","0","0","DUPLICATE","0","0","0","0","0"
"PROVISIONAL BALLOT","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","6","6","2","1","15"
"IN PERSON","1","0","0","1","2","0","MENTAL INCOMPETENCY","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","38","33","31","2","104","5","MOVED OUT OF STATE","41","45","6","1","93"
"NVRA BY MAIL","0","1","0","0","1","0","OTHER","1","0","1","0","2"
"OTHER MEANS","1","0","2","0","3","0","VOTER REQUEST","0","1","1","0","2"
"RECRUITING","0","0","0","0","0","0","CONFIRMATION MAIL","0","0","0","0","0"
"SOCIAL SERVICES","0","0","0","0","0","0","","","","","",""
"VOLUNTEER","1","2","1","0","4","0","","","","","",""
"TOTAL","44","41","37","3","125","8","TOTAL","62","65","19","2","148"
