"Anne Arundel","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","",""
"","DEM","REP","UNAF","OTH","TOTAL","DUPS","","DEM","REP","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","2","0","1","0","3","6","BOARD ACTION","0","0","2","0","2"
"BY MAIL","218","105","151","5","479","17","COUNTY TRANSFER - OUT","809","347","119","8","1,283"
"DESIGNATED STATE AGENCIES","1","2","2","0","5","0","CRIMINAL CONVICTION","0","0","0","0","0"
"ELDERLY / DISABLED","2","0","0","0","2","0","DEATH NOTICE","5","8","0","0","13"
"FROM ANOTHER BOARD","3","3","1","0","7","0","DUPLICATE","7","8","1","0","16"
"PROVISIONAL BALLOT","1","1","0","0","2","0","MAIL VERIFICATION (NVRA)","38","31","11","0","80"
"IN PERSON","3","1","0","0","4","6","MENTAL INCOMPETENCY","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","703","412","510","23","1,648","168","MOVED OUT OF STATE","26","36","18","0","80"
"NVRA BY MAIL","20","14","16","2","52","3","OTHER","2","0","1","0","3"
"OTHER MEANS","42","53","27","3","125","454","VOTER REQUEST","1","0","0","0","1"
"RECRUITING","0","0","0","0","0","0","CONFIRMATION MAIL","0","1","0","0","1"
"SOCIAL SERVICES","7","1","4","0","12","1","","","","","",""
"VOLUNTEER","4","9","9","1","23","0","","","","","",""
"TOTAL","1,006","601","721","34","2,362","655","TOTAL","888","431","152","8","1,479"
