"Baltimore City","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","",""
"","DEM","REP","UNAF","OTH","TOTAL","DUPS","","DEM","REP","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","3","1","5","0","9","0","BOARD ACTION","0","0","0","0","0"
"BY MAIL","502","100","138","8","748","214","COUNTY TRANSFER - OUT","840","127","172","13","1,152"
"DESIGNATED STATE AGENCIES","3","0","0","0","3","11","CRIMINAL CONVICTION","118","15","11","4","148"
"ELDERLY / DISABLED","4","0","0","0","4","3","DEATH NOTICE","31","4","1","0","36"
"FROM ANOTHER BOARD","4","0","0","0","4","0","DUPLICATE","44","7","5","1","57"
"PROVISIONAL BALLOT","0","0","0","0","0","1","MAIL VERIFICATION (NVRA)","171","80","166","13","430"
"IN PERSON","1","0","1","0","2","1","MENTAL INCOMPETENCY","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","1,538","224","481","25","2,268","158","MOVED OUT OF STATE","67","7","19","1","94"
"NVRA BY MAIL","19","1","5","0","25","5","OTHER","1","0","0","0","1"
"OTHER MEANS","47","16","10","3","76","17","VOTER REQUEST","2","0","0","0","2"
"RECRUITING","0","0","0","0","0","0","CONFIRMATION MAIL","0","1","0","0","1"
"SOCIAL SERVICES","68","5","18","0","91","18","","","","","",""
"VOLUNTEER","1","0","0","0","1","1","","","","","",""
"TOTAL","2,190","347","658","36","3,231","429","TOTAL","1,274","241","374","32","1,921"
