"Baltimore Co.","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","",""
"","DEM","REP","UNAF","OTH","TOTAL","DUPS","","DEM","REP","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","1","0","1","0","2","0","BOARD ACTION","0","0","0","0","0"
"BY MAIL","346","143","97","7","593","8","COUNTY TRANSFER-OUT","683","233","170","19","1,105"
"DESIGNATED STATE AGENCIES","2","2","1","0","5","0","CRIMINAL CONVICTION","13","1","2","0","16"
"ELDERLY / DISABLED","1","0","1","0","2","0","DEATH NOTICE","24","9","0","0","33"
"FROM ANOTHER BOARD","7","0","3","0","10","0","DUPLICATE","15","6","5","1","27"
"PROVISIONAL BALLOT","0","1","0","0","1","0","MAIL VERIFICATION (NVRA)","761","420","315","42","1,538"
"IN PERSON","12","2","1","0","15","0","MENTAL INCOMPETENCY","0","0","1","0","1"
"MOTOR VEHICLE ADMINISTRATION","1,794","658","844","50","3,346","32","MOVED OUT OF STATE","90","55","39","4","188"
"NVRA BY MAIL","112","33","56","0","201","3","OTHER","14","5","6","0","25"
"OTHER MEANS","81","28","20","3","132","167","VOTER REQUEST","0","1","0","0","1"
"RECRUITING","0","0","0","0","0","0","CONFIRMATION MAIL","24","8","9","3","44"
"SOCIAL SERVICES","17","4","4","0","25","11","","","","","",""
"VOLUNTEER","2","0","1","0","3","0","","","","","",""
"TOTAL","2,375","871","1,029","60","4,335","221","TOTAL","1,624","738","547","69","2,978"
