"Calvert","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","",""
"","DEM","REP","UNAF","OTH","TOTAL","DUPS","","DEM","REP","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","1","0","0","0","1","0","BOARD ACTION","0","0","0","0","0"
"BY MAIL","22","31","12","0","65","27","COUNTY TRANSFER - OUT","49","34","21","3","107"
"DESIGNATED STATE AGENCIES","0","0","0","0","0","0","CRIMINAL CONVICTION","0","1","0","0","1"
"ELDERLY / DISABLED","0","0","0","0","0","0","DEATH NOTICE","9","5","0","0","14"
"FROM ANOTHER BOARD","0","0","0","0","0","4","DUPLICATE","0","1","0","0","1"
"PROVISIONAL BALLOT","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","119","101","9","0","229"
"IN PERSON","0","0","1","0","1","1","MENTAL INCOMPETENCY","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","115","71","78","5","269","438","MOVED OUT OF STATE","2","12","1","0","15"
"NVRA BY MAIL","4","5","6","1","16","1","OTHER","1","0","0","1","2"
"OTHER MEANS","1","4","1","0","6","7","VOTER REQUEST","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","CONFIRMATION MAIL","0","0","1","0","1"
"SOCIAL SERVICES","0","2","3","0","5","1","","","","","",""
"VOLUNTEER","0","0","0","0","0","0","","","","","",""
"TOTAL","143","113","101","6","363","479","TOTAL","180","154","32","4","370"
