"Caroline","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","",""
"","DEM","REP","UNAF","OTH","TOTAL","DUPS","","DEM","REP","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","BOARD ACTION","0","0","0","0","0"
"BY MAIL","7","7","5","1","20","4","COUNTY TRANSFER - OUT","14","15","13","0","42"
"DESIGNATED STATE AGENCIES","0","0","2","0","2","0","CRIMINAL CONVICTION","2","0","0","0","2"
"ELDERLY / DISABLED","0","0","0","0","0","0","DEATH NOTICE","1","0","0","0","1"
"FROM ANOTHER BOARD","0","0","0","0","0","0","DUPLICATE","0","0","0","0","0"
"PROVISIONAL BALLOT","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","48","50","43","1","142"
"IN PERSON","1","1","2","0","4","0","MENTAL INCOMPETENCY","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","24","17","14","2","57","11","MOVED OUT OF STATE","12","3","3","0","18"
"NVRA BY MAIL","0","0","0","0","0","0","OTHER","0","1","0","0","1"
"OTHER MEANS","0","0","0","0","0","0","VOTER REQUEST","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","CONFIRMATION MAIL","0","0","0","0","0"
"SOCIAL SERVICES","1","0","2","0","3","0","","","","","",""
"VOLUNTEER","1","3","1","0","5","0","","","","","",""
"TOTAL","34","28","26","3","91","15","TOTAL","77","69","59","1","206"
