"Carroll","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","",""
"","DEM","REP","UNAF","OTH","TOTAL","DUPS","","DEM","REP","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","1","0","0","0","1","0","BOARD ACTION","0","0","0","0","0"
"BY MAIL","38","83","53","1","175","20","COUNTY TRANSFER - OUT","46","66","36","4","152"
"DESIGNATED STATE AGENCIES","0","0","0","0","0","0","CRIMINAL CONVICTION","0","0","3","0","3"
"ELDERLY / DISABLED","0","0","0","0","0","0","DEATH NOTICE","1","1","0","0","2"
"FROM ANOTHER BOARD","0","0","0","0","0","0","DUPLICATE","1","3","0","0","4"
"PROVISIONAL BALLOT","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","26","33","23","2","84"
"IN PERSON","2","4","2","0","8","0","MENTAL INCOMPETENCY","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","110","201","145","2","458","66","MOVED OUT OF STATE","16","22","10","3","51"
"NVRA BY MAIL","6","7","1","0","14","1","OTHER","0","0","0","0","0"
"OTHER MEANS","4","17","6","0","27","2","VOTER REQUEST","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","CONFIRMATION MAIL","1","0","0","0","1"
"SOCIAL SERVICES","1","0","0","0","1","1","","","","","",""
"VOLUNTEER","7","17","2","0","26","0","","","","","",""
"TOTAL","169","329","209","3","710","90","TOTAL","91","125","72","9","297"
