"Cecil","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","",""
"","DEM","REP","UNAF","OTH","TOTAL","DUPS","","DEM","REP","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","1","0","1","0","2","0","BOARD ACTION","0","0","0","0","0"
"BY MAIL","20","27","24","1","72","0","COUNTY TRANSFER - OUT","21","27","14","0","62"
"DESIGNATED STATE AGENCIES","0","2","0","0","2","0","CRIMINAL CONVICTION","3","2","0","0","5"
"ELDERLY / DISABLED","0","0","0","0","0","0","DEATH NOTICE","1","0","0","0","1"
"FROM ANOTHER BOARD","0","0","0","0","0","0","DUPLICATE","4","3","0","0","7"
"PROVISIONAL BALLOT","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","5","10","6","0","21"
"IN PERSON","0","0","1","0","1","0","MENTAL INCOMPETENCY","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","85","79","84","4","252","0","MOVED OUT OF STATE","8","10","7","0","25"
"NVRA BY MAIL","0","0","0","0","0","0","OTHER","0","0","1","0","1"
"OTHER MEANS","3","2","0","0","5","0","VOTER REQUEST","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","CONFIRMATION MAIL","0","0","0","0","0"
"SOCIAL SERVICES","1","1","1","0","3","0","","","","","",""
"VOLUNTEER","0","0","0","0","0","0","","","","","",""
"TOTAL","110","111","111","5","337","0","TOTAL","42","52","28","0","122"
