"Charles","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","",""
"","DEM","REP","UNAF","OTH","TOTAL","DUPS","","DEM","REP","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","5","0","0","0","5","0","BOARD ACTION","1","1","0","0","2"
"BY MAIL","54","22","33","1","110","21","COUNTY TRANSFER - OUT","107","37","34","3","181"
"DESIGNATED STATE AGENCIES","1","0","0","0","1","0","CRIMINAL CONVICTION","3","0","2","0","5"
"ELDERLY / DISABLED","0","0","0","0","0","0","DEATH NOTICE","0","0","0","0","0"
"FROM ANOTHER BOARD","2","0","0","0","2","0","DUPLICATE","3","0","5","0","8"
"PROVISIONAL BALLOT","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","443","117","1","0","561"
"IN PERSON","2","2","1","0","5","0","MENTAL INCOMPETENCY","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","337","98","121","3","559","16","MOVED OUT OF STATE","17","38","6","0","61"
"NVRA BY MAIL","1","1","4","0","6","3","OTHER","1","0","0","0","1"
"OTHER MEANS","19","5","6","0","30","3","VOTER REQUEST","1","0","0","0","1"
"RECRUITING","0","0","0","0","0","0","CONFIRMATION MAIL","1","2","0","0","3"
"SOCIAL SERVICES","6","0","0","0","6","4","","","","","",""
"VOLUNTEER","15","4","4","0","23","0","","","","","",""
"TOTAL","442","132","169","4","747","47","TOTAL","577","195","48","3","823"
