"Dorchester","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","",""
"","DEM","REP","UNAF","OTH","TOTAL","DUPS","","DEM","REP","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","1","1","2","0","4","0","BOARD ACTION","0","0","0","0","0"
"BY MAIL","9","12","7","0","28","13","COUNTY TRANSFER - OUT","16","8","5","1","30"
"DESIGNATED STATE AGENCIES","0","0","0","0","0","0","CRIMINAL CONVICTION","2","1","1","0","4"
"ELDERLY / DISABLED","0","0","0","0","0","0","DEATH NOTICE","9","7","1","0","17"
"FROM ANOTHER BOARD","0","0","0","0","0","0","DUPLICATE","0","0","0","0","0"
"PROVISIONAL BALLOT","3","0","0","0","3","0","MAIL VERIFICATION (NVRA)","70","64","16","2","152"
"IN PERSON","4","3","1","0","8","2","MENTAL INCOMPETENCY","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","49","18","16","2","85","12","MOVED OUT OF STATE","3","6","0","0","9"
"NVRA BY MAIL","1","0","0","0","1","0","OTHER","5","0","0","1","6"
"OTHER MEANS","0","1","0","0","1","0","VOTER REQUEST","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","CONFIRMATION MAIL","0","0","0","0","0"
"SOCIAL SERVICES","0","0","0","0","0","0","","","","","",""
"VOLUNTEER","9","0","3","0","12","0","","","","","",""
"TOTAL","76","35","29","2","142","27","TOTAL","105","86","23","4","218"
