"Frederick","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","",""
"","DEM","REP","UNAF","OTH","TOTAL","DUPS","","DEM","REP","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","89","BOARD ACTION","0","0","0","0","0"
"BY MAIL","53","62","37","2","154","261","COUNTY TRANSFER - OUT","68","66","39","3","176"
"DESIGNATED STATE AGENCIES","0","2","1","0","3","6","CRIMINAL CONVICTION","1","1","1","0","3"
"ELDERLY / DISABLED","0","0","0","0","0","20","DEATH NOTICE","4","0","0","0","4"
"FROM ANOTHER BOARD","1","2","0","0","3","54","DUPLICATE","14","20","18","0","52"
"PROVISIONAL BALLOT","0","0","0","0","0","22","MAIL VERIFICATION (NVRA)","166","150","118","5","439"
"IN PERSON","0","1","2","0","3","51","MENTAL INCOMPETENCY","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","265","193","226","9","693","1,725","MOVED OUT OF STATE","15","26","8","1","50"
"NVRA BY MAIL","16","15","15","0","46","14","OTHER","4","10","4","0","18"
"OTHER MEANS","19","26","13","0","58","940","VOTER REQUEST","0","0","1","0","1"
"RECRUITING","0","0","0","0","0","0","CONFIRMATION MAIL","0","1","0","0","1"
"SOCIAL SERVICES","3","0","2","0","5","17","","","","","",""
"VOLUNTEER","8","2","5","0","15","0","","","","","",""
"TOTAL","365","303","301","11","980","3,199","TOTAL","272","274","189","9","744"
