"Garrett","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","",""
"","DEM","REP","UNAF","OTH","TOTAL","DUPS","","DEM","REP","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","BOARD ACTION","0","0","0","0","0"
"BY MAIL","1","5","0","0","6","5","COUNTY TRANSFER - OUT","3","7","5","0","15"
"DESIGNATED STATE AGENCIES","1","0","0","0","1","0","CRIMINAL CONVICTION","0","1","0","0","1"
"ELDERLY / DISABLED","0","0","0","0","0","0","DEATH NOTICE","5","9","2","0","16"
"FROM ANOTHER BOARD","0","0","0","0","0","0","DUPLICATE","0","0","0","0","0"
"PROVISIONAL BALLOT","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","55","79","3","0","137"
"IN PERSON","1","3","0","0","4","3","MENTAL INCOMPETENCY","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","17","37","15","0","69","406","MOVED OUT OF STATE","3","3","0","0","6"
"NVRA BY MAIL","0","0","0","0","0","0","OTHER","0","0","0","0","0"
"OTHER MEANS","1","2","0","0","3","40","VOTER REQUEST","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","CONFIRMATION MAIL","0","1","0","0","1"
"SOCIAL SERVICES","0","0","0","0","0","0","","","","","",""
"VOLUNTEER","0","0","0","0","0","0","","","","","",""
"TOTAL","21","47","15","0","83","454","TOTAL","66","100","10","0","176"
