"Harford","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","",""
"","DEM","REP","UNAF","OTH","TOTAL","DUPS","","DEM","REP","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","2","0","0","0","2","0","BOARD ACTION","0","0","0","0","0"
"BY MAIL","57","45","42","3","147","1","COUNTY TRANSFER - OUT","98","64","48","3","213"
"DESIGNATED STATE AGENCIES","0","0","0","0","0","1","CRIMINAL CONVICTION","6","4","7","0","17"
"ELDERLY / DISABLED","0","0","0","0","0","0","DEATH NOTICE","26","24","3","0","53"
"FROM ANOTHER BOARD","2","0","0","0","2","0","DUPLICATE","4","3","3","0","10"
"PROVISIONAL BALLOT","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","37","27","22","0","86"
"IN PERSON","0","4","2","0","6","0","MENTAL INCOMPETENCY","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","292","254","240","9","795","9","MOVED OUT OF STATE","13","17","10","2","42"
"NVRA BY MAIL","22","12","22","3","59","1","OTHER","7","4","6","1","18"
"OTHER MEANS","20","20","12","0","52","0","VOTER REQUEST","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","CONFIRMATION MAIL","2","4","2","0","8"
"SOCIAL SERVICES","3","0","0","0","3","0","","","","","",""
"VOLUNTEER","8","12","18","0","38","0","","","","","",""
"TOTAL","406","347","336","15","1,104","12","TOTAL","193","147","101","6","447"
