"Howard","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","",""
"","DEM","REP","UNAF","OTH","TOTAL","DUPS","","DEM","REP","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","1","0","1","2","BOARD ACTION","0","0","0","0","0"
"BY MAIL","288","124","138","4","554","165","COUNTY TRANSFER - OUT","213","131","113","7","464"
"DESIGNATED STATE AGENCIES","0","0","0","0","0","1","CRIMINAL CONVICTION","4","1","1","1","7"
"ELDERLY / DISABLED","0","0","0","0","0","0","DEATH NOTICE","11","3","3","0","17"
"FROM ANOTHER BOARD","1","0","0","0","1","1","DUPLICATE","0","1","0","0","1"
"PROVISIONAL BALLOT","1","1","0","0","2","3","MAIL VERIFICATION (NVRA)","216","94","83","53","446"
"IN PERSON","1","1","2","0","4","1","MENTAL INCOMPETENCY","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","435","175","277","22","909","1,013","MOVED OUT OF STATE","89","96","32","3","220"
"NVRA BY MAIL","7","0","0","0","7","0","OTHER","5","0","3","1","9"
"OTHER MEANS","18","11","5","1","35","95","VOTER REQUEST","0","2","1","0","3"
"RECRUITING","0","0","0","0","0","0","CONFIRMATION MAIL","19","13","18","1","51"
"SOCIAL SERVICES","7","2","4","1","14","1","","","","","",""
"VOLUNTEER","2","4","3","0","9","0","","","","","",""
"TOTAL","760","318","430","28","1,536","1,282","TOTAL","557","341","254","66","1,218"
