"Kent","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","",""
"","DEM","REP","UNAF","OTH","TOTAL","DUPS","","DEM","REP","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","1","0","0","0","1","0","BOARD ACTION","0","0","0","0","0"
"BY MAIL","3","11","0","0","14","2","COUNTY TRANSFER - OUT","2","3","5","0","10"
"DESIGNATED STATE AGENCIES","0","0","0","0","0","0","CRIMINAL CONVICTION","0","0","0","0","0"
"ELDERLY / DISABLED","0","0","0","0","0","0","DEATH NOTICE","5","2","1","0","8"
"FROM ANOTHER BOARD","0","0","0","0","0","0","DUPLICATE","0","3","1","0","4"
"PROVISIONAL BALLOT","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","1","0","0","0","1"
"IN PERSON","0","0","0","0","0","0","MENTAL INCOMPETENCY","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","18","10","9","0","37","5","MOVED OUT OF STATE","1","3","0","0","4"
"NVRA BY MAIL","2","2","1","0","5","0","OTHER","0","0","0","0","0"
"OTHER MEANS","0","2","0","0","2","0","VOTER REQUEST","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","CONFIRMATION MAIL","0","0","0","0","0"
"SOCIAL SERVICES","0","0","0","0","0","0","","","","","",""
"VOLUNTEER","3","0","1","0","4","0","","","","","",""
"TOTAL","27","25","11","0","63","7","TOTAL","9","11","7","0","27"
