"Montgomery","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","",""
"","DEM","REP","UNAF","OTH","TOTAL","DUPS","","DEM","REP","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","3","2","4","0","9","0","BOARD ACTION","0","0","0","0","0"
"BY MAIL","381","112","198","9","700","76","COUNTY TRANSFER - OUT","328","117","128","5","578"
"DESIGNATED STATE AGENCIES","1","1","2","0","4","4","CRIMINAL CONVICTION","1","0","0","0","1"
"ELDERLY / DISABLED","38","1","12","0","51","1","DEATH NOTICE","492","218","96","0","806"
"FROM ANOTHER BOARD","3","0","1","1","5","4","DUPLICATE","7","3","5","0","15"
"PROVISIONAL BALLOT","2","0","1","0","3","0","MAIL VERIFICATION (NVRA)","879","219","388","14","1,500"
"IN PERSON","8","4","1","0","13","1","MENTAL INCOMPETENCY","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","1,019","272","654","24","1,969","173","MOVED OUT OF STATE","103","41","48","1","193"
"NVRA BY MAIL","0","0","2","0","2","0","OTHER","6","1","3","0","10"
"OTHER MEANS","223","85","148","11","467","100","VOTER REQUEST","1","0","0","0","1"
"RECRUITING","0","0","0","0","0","0","CONFIRMATION MAIL","0","1","1","0","2"
"SOCIAL SERVICES","8","0","5","0","13","2","","","","","",""
"VOLUNTEER","5","2","3","0","10","0","","","","","",""
"TOTAL","1,691","479","1,031","45","3,246","361","TOTAL","1,817","600","669","20","3,106"
