"REMOVALS
NEW REGISTRATION BY PARTY
SUMMARY","","","","","","","","","","","","","",""
"","DEM","REP","AmE","UNAF","OTH","TOTAL","DUPS","","DEM","REP","AmE","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","29","9","0","18","2","58","34","BOARD ACTION","37","2","0","14","3","56"
"BY MAIL","3384","1183","0","1922","90","6,579","1,083","COUNTY TRANSFER - OUT","4,247","1,682","0","1,471","118","7,518"
"DESIGNATED STATE AGENCIES","29","21","0","21","0","71","4","CRIMINAL CONVICTION","164","55","0","57","4","280"
"ELDERLY / DISABLED","9","4","0","3","1","17","21","DEATH NOTICE","1,590","618","0","135","33","2,376"
"FROM ANOTHER BOARD","30","16","0","5","1","52","22","DUPLICATE","70","34","0","15","2","121"
"PROVISIONAL BALLOT","3","0","0","1","0","4","8","MAIL VERIFICATION (NVRA)","7,425","3,378","0","2,550","1,227","14,580"
"IN PERSON","68","38","0","32","3","141","15","MENTAL INCOMPETENCY","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","9691","3541","0","5227","111","18,570","7,043","MOVED OUT OF STATE","482","386","0","267","22","1,157"
"NVRA BY MAIL","203","117","0","112","8","440","20","OTHER","155","53","0","64","3","275"
"ONLINE REGISTRATION","130","43","0","71","1","245","13","VOTER REQUEST","7","9","0","5","0","21"
"OTHER","311","171","0","153","12","647","1,145","CONFIRMATION MAIL","209","43","0","62","2","316"
"RECRUITING","1","2","0","1","0","4","0","","","","","","",""
"SOCIAL SERVICES","92","13","0","55","0","160","46","","","","","","",""
"VOLUNTEER","93","28","0","32","1","154","0","","","","","","",""
"TOTAL","14,073","5,186","0","7,653","230","27,142","9,454","TOTAL","14,386","6,260","0","4,640","1,414","26,700"
