"COUNTY","CHANGES","","PARTY AFFILIATION FROM","","","","","","","","TOTAL ACTIVE REGISTRATION","","","","","","","","ACTIVITY",""
"","ADDRESS","NAME","DEM","REP","AmE","GRN","LIB","UNAF","OTH","TOTAL","DEM","REP","AmE","GRN","LIB","UNAF","OTH","TOTAL","CONF 
MAILING","INACTIVE"
"ALLEGANY","898","158","43","29","0","3","5","38","10","128","15,561","20,010","1","121","142","5,902","408","42,145","2","3,261"
"ANNE ARUNDEL","5,764","2,793","417","302","0","8","26","507","33","1,293","149,430","125,472","8","874","1,397","71,739","261","349,181","23","25,037"
"BALTIMORE CITY","11,031","5,205","537","452","0","23","24","890","59","1,985","309,451","33,043","22","1,403","919","46,734","1,542","393,114","13","18,811"
"BALTIMORE CO.","7,336","5,225","717","442","1","23","26","1,077","108","2,394","298,181","132,760","10","1,340","1,811","75,636","6,047","515,785","23","46,620"
"CALVERT","919","500","73","72","0","1","5","85","10","246","23,377","23,459","1","139","193","11,214","538","58,921","7","4,031"
"CAROLINE","237","130","22","16","0","0","0","40","2","80","7,190","7,646","0","36","59","3,106","145","18,182","0","1,513"
"CARROLL","987","419","78","88","0","0","5","138","26","335","32,801","56,890","6","271","399","19,111","987","110,465","1","6,048"
"CECIL","702","576","76","36","0","1","4","68","15","200","24,211","24,368","3","140","244","12,832","744","62,542","0","7,501"
"CHARLES","1,406","603","91","63","0","2","3","121","11","291","55,746","25,355","1","141","234","15,725","575","97,777","3","8,496"
"DORCHESTER","288","107","24","14","0","0","0","35","5","78","10,422","7,132","1","25","47","2,433","127","20,187","0","1,362"
"FREDERICK","1,934","1,243","146","124","0","7","10","193","13","493","54,642","61,114","4","401","578","31,482","95","148,316","1","8,339"
"GARRETT","188","86","22","13","0","0","1","11","4","51","4,725","11,628","0","38","52","2,086","206","18,735","1","1,274"
"HARFORD","4,279","1,098","235","166","0","5","8","385","26","825","63,538","67,497","3","313","650","26,756","1,242","159,999","62","7,984"
"HOWARD","3,239","1,526","290","236","0","6","10","819","81","1,442","90,233","56,356","7","471","705","38,624","2,631","189,027","25","21,010"
"KENT","134","52","8","4","0","0","1","9","1","23","6,098","4,572","0","35","44","1,714","140","12,603","2","1,086"
"MONTGOMERY","11,984","8,071","1,172","686","1","48","46","2,669","97","4,719","346,348","125,347","17","1,514","1,753","139,232","3,309","617,520","42","36,363"
"PR. GEORGE'S","14,771","8,112","857","437","1","13","32","1,198","389","2,927","444,214","47,534","26","768","939","56,315","19,679","569,475","30","12,599"
"QUEEN ANNE'S","406","145","39","26","0","1","2","27","3","98","11,369","15,294","3","64","111","5,297","209","32,347","0","1,390"
"ST. MARY'S","1,585","525","70","58","0","2","4","92","12","238","25,334","25,748","5","144","249","12,069","469","64,018","1","5,535"
"SOMERSET","174","85","15","6","0","0","0","8","1","30","7,265","4,600","2","19","30","1,702","123","13,741","2","894"
"TALBOT","267","136","29","21","0","0","0","10","5","65","9,904","10,981","0","48","91","4,016","267","25,307","2","3,028"
"WASHINGTON","1,211","531","100","81","0","4","3","175","9","372","31,750","38,547","7","236","324","16,124","308","87,296","301","8,339"
"WICOMICO","998","371","76","57","0","2","1","79","11","226","25,506","20,667","5","117","192","9,319","677","56,483","2","4,701"
"WORCESTER","460","172","28","26","0","0","3","26","8","91","15,016","14,433","1","71","126","6,079","383","36,109","1","2,747"
"TOTAL","71,198","37,869","5,165","3,455","3","149","219","8,700","939","18,630","2,062,312","960,453","133","8,729","11,289","615,247","41,112","3,699,275","544","237,969"
