"COUNTY","CHANGES","","PARTY AFFILIATION FROM","","","","","","","","TOTAL ACTIVE REGISTRATION","","","","","","","","ACTIVITY",""
"","ADDRESS","NAME","DEM","REP","AME","GRN","LIB","UNAF","OTH","TOTAL","DEM","REP","AME","GRN","LIB","UNAF","OTH","TOTAL","CONF 
MAILING","INACTIVE"
"ALLEGANY","225","72","22","13","0","0","0","3","2","40","15,228","19,997","1","113","167","6,019","402","41,927","210","3,048"
"ANNE ARUNDEL","2,131","595","154","146","0","2","4","78","4","388","148,419","124,247","25","826","1,504","73,221","246","348,488","596","22,453"
"BALTIMORE CITY","3,219","1,333","111","81","0","2","0","68","15","277","294,810","30,114","54","1,221","933","44,448","1,366","372,946","758","38,047"
"BALTIMORE CO.","4,794","2,024","357","255","0","5","7","119","38","781","294,835","130,896","28","1,280","1,972","79,341","5,525","513,877","2,149","30,986"
"CALVERT","392","155","14","24","0","0","0","13","3","54","23,326","23,506","3","138","216","11,515","482","59,186","31","3,634"
"CAROLINE","117","42","13","17","0","1","0","1","1","33","7,236","7,704","2","31","67","3,271","142","18,453","32","1,273"
"CARROLL","711","184","58","51","0","3","2","14","9","137","32,458","57,378","8","271","470","20,492","973","112,050","60","4,153"
"CECIL","708","305","38","24","0","1","0","14","9","86","23,250","23,883","8","130","244","12,689","678","60,882","122","5,364"
"CHARLES","725","223","32","34","0","0","1","19","3","89","56,025","24,554","6","113","271","15,711","532","97,212","198","6,874"
"DORCHESTER","159","40","12","12","0","0","0","3","0","27","10,372","7,115","2","26","53","2,537","121","20,226","181","1,418"
"FREDERICK","1,015","453","56","63","0","3","3","46","3","174","53,980","60,129","12","397","649","32,176","101","147,444","445","7,928"
"GARRETT","59","36","2","2","0","0","0","2","0","6","4,674","11,731","0","39","63","2,154","191","18,852","2","1,007"
"HARFORD","1,069","455","116","100","0","2","1","38","13","270","62,065","67,120","8","294","734","28,159","1,202","159,582","196","7,526"
"HOWARD","1,811","342","60","70","0","2","5","53","17","207","92,157","56,183","8","479","790","41,323","2,362","193,302","131","10,113"
"KENT","72","28","4","5","0","0","1","1","2","13","6,109","4,551","0","34","53","1,811","132","12,690","4","656"
"MONTGOMERY","4,578","1,784","220","172","1","2","9","185","31","620","350,168","123,680","29","1,503","1,929","143,880","3,181","624,370","829","37,715"
"PR. GEORGE'S","4,962","1,359","114","74","0","5","2","63","57","315","444,750","45,308","48","750","1,001","58,057","17,573","567,487","6,657","18,887"
"QUEEN ANNE'S","171","65","17","10","0","0","1","4","1","33","11,268","15,474","4","54","132","5,720","204","32,856","12","810"
"ST. MARY'S","530","191","20","26","0","0","2","18","3","69","25,417","25,834","11","139","266","12,542","443","64,652","188","3,663"
"SOMERSET","112","46","5","5","0","0","0","3","2","15","6,837","4,554","6","16","24","1,621","106","13,164","18","1,163"
"TALBOT","154","50","12","12","0","0","1","8","2","35","9,966","11,046","1","51","96","4,218","243","25,621","55","1,502"
"WASHINGTON","1,461","232","73","49","0","1","3","28","3","157","31,102","38,380","17","217","353","16,731","322","87,122","675","6,760"
"WICOMICO","659","200","39","34","0","1","1","18","8","101","26,225","20,992","12","113","221","10,005","610","58,178","61","3,256"
"WORCESTER","341","109","15","22","0","0","1","14","2","54","14,958","14,565","8","75","141","6,303","351","36,401","48","2,484"
"TOTAL","30,175","10,323","1,564","1,301","1","30","44","813","228","3,981","2,045,635","948,941","301","8,310","12,349","633,944","37,488","3,686,968","13,658","220,720"
