"","","","","","","","","","","","","","","","","","","",""
"","SUMMARY","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","",""
"","","DEM","REP","AME","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","AME","GRN","LIB","UNAF","OTH","TOTAL"
"","ABSENTEE BALLOT (FPCA)","1","3","0","0","0","0","0","4","3","BOARD ACTION","5","3","0","0","0","2","0","10"
"","BY MAIL","958","409","0","9","11","522","23","1,932","394","CONFIRMATION MAIL","11","9","0","0","0","3","0","23"
"","DESIGNATED STATE AGENCIES","13","12","0","0","1","8","1","35","1","COUNTY TRANSFER - OUT","3,107","1,200","0","24","30","1,220","46","5,627"
"","ELDERLY / DISABLED","2","0","0","0","0","0","0","2","1","CRIMINAL CONVICTION","23","9","0","0","0","8","0","40"
"","FROM ANOTHER BOARD","35","18","0","0","0","26","0","79","31","DEATH NOTICE","2,252","951","0","2","4","269","28","3,506"
"","PROVISIONAL BALLOT","0","1","0","0","0","0","0","1","3","DUPLICATE","51","8","0","0","1","11","0","71"
"","IN PERSON","15","9","0","2","0","11","0","37","11","MAIL VERIFICATION (NVRA)","3,302","1,320","0","20","34","1,516","83","6,275"
"","MOTOR VEHICLE ADMINISTRATION","5314","1888","0","45","106","2716","30","10,099","1,592","MENTAL INCOMPETENCY","1","1","0","0","0","0","0","2"
"","NVRA BY MAIL","24","13","0","0","0","19","0","56","11","MOVED OUT OF STATE","522","423","0","3","5","273","13","1,239"
"","ONLINE REGISTRATION","243","124","0","3","5","129","2","506","19","OTHER","65","32","0","0","1","43","1","142"
"","OTHER MEANS","212","46","1","3","2","64","2","330","468","VOTER REQUEST","7","8","0","0","0","3","1","19"
"","RECRUITING","0","0","0","0","0","0","1","1","0","","","","","","","","","0"
"","SOCIAL SERVICES","28","13","0","0","0","14","0","55","23","","","","","","","","",""
"","VOLUNTEER","6","1","0","0","0","3","0","10","0","","","","","","","","",""
"","TOTAL","6,851","2,537","1","62","125","3,512","59","13,147","2,557","TOTAL","9,346","3,964","0","49","75","3,348","172","16,954"
