"","SUMMARY","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","",""
"","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL"
"","ABSENTEE BALLOT (FPCA)","8","11","1","0","6","0","26","0","BOARD ACTION","1","0","0","0","0","0","1"
"","BY MAIL","1596","664","9","27","760","26","3,082","432","CONFIRMATION MAIL","69","31","1","0","37","0","138"
"","DESIGNATED STATE AGENCIES","38","11","1","1","25","0","76","21","COUNTY TRANSFER - OUT","5,217","2,098","37","68","2,238","53","9,711"
"","ELDERLY / DISABLED","3","0","0","0","0","0","3","3","CRIMINAL CONVICTION","115","16","1","1","29","1","163"
"","FROM ANOTHER BOARD","17","13","0","0","5","4","39","74","DEATH NOTICE","398","280","0","0","51","6","735"
"","PROVISIONAL BALLOT","52","13","1","0","13","0","79","766","DUPLICATE","46","20","1","0","13","3","83"
"","IN PERSON","270","116","1","3","81","4","475","963","MAIL VERIFICATION (NVRA)","16,203","6,885","70","132","4,836","370","28,496"
"","MOTOR VEHICLE ADMINISTRATION","8892","4170","68","196","5299","47","18,672","1,569","MENTAL INCOMPETENCY","0","0","0","0","0","0","0"
"","NVRA BY MAIL","93","50","1","2","51","1","198","10","MOVED OUT OF STATE","641","604","6","14","345","13","1,623"
"","ONLINE REGISTRATION","352","195","8","11","210","7","783","16","OTHER","79","19","1","1","39","3","142"
"","OTHER MEANS","48","19","1","3","23","7","101","913","VOTER REQUEST","13","8","0","0","7","4","32"
"","RECRUITING","0","0","0","0","0","0","0","0","","","","","","","","0"
"","SOCIAL SERVICES","31","10","1","0","19","0","61","36","","","","","","","",""
"","VOLUNTEER","2","2","0","0","1","0","5","0","","","","","","","",""
"","TOTAL","11,402","5,274","92","243","6,493","96","23,600","4,803","TOTAL","22,782","9,961","117","216","7,595","453","41,124"
