"SUMMARY","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","5","2","0","0","1","0","8","8","BOARD ACTION","3","1","0","0","1","0","5"
"BY MAIL","781","242","3","3","295","45","1,369","237","CONFIRMATION MAIL","2","1","0","1","2","0","6"
"DESIGNATED STATE AGENCIES","69","47","0","2","39","0","157","19","COUNTY TRANSFER - OUT","3,775","1,382","18","49","1,505","46","6,775"
"ELDERLY / DISABLED","1","0","0","0","0","0","1","1","CRIMINAL CONVICTION","11","1","0","0","1","0","13"
"FROM ANOTHER BOARD","21","15","1","0","11","3","51","38","DEATH NOTICE","257","175","0","1","40","4","477"
"PROVISIONAL BALLOT","1","0","0","0","0","0","1","0","DUPLICATE","10","6","0","0","2","0","18"
"IN PERSON","58","29","0","1","25","0","113","12","MAIL VERIFICATION (NVRA)","768","346","6","7","321","6","1,454"
"MOTOR VEHICLE ADMINISTRATION","8092","3663","50","153","4824","104","16,886","1,604","MENTAL INCOMPETENCY","0","0","0","0","0","0","0"
"NVRA BY MAIL","83","48","0","2","41","2","176","36","MOVED OUT OF STATE","670","394","4","9","311","12","1,400"
"ONLINE REGISTRATION","647","365","2","9","218","5","1,246","39","OTHER","60","20","1","1","37","1","120"
"OTHER MEANS","99","35","1","1","59","10","205","131","VOTER REQUEST","8","5","0","0","5","0","18"
"RECRUITING","0","0","0","0","0","0","0","0","","","","","","","","0"
"SOCIAL SERVICES","31","12","0","1","23","0","67","24","","","","","","","",""
"VOLUNTEER","100","7","1","1","28","0","137","0","","","","","","","",""
"TOTAL","9,988","4,465","58","173","5,564","169","20,417","2,149","TOTAL","5,564","2,331","29","68","2,225","69","10,286"
