"","","","","","","","","","","","","","","","","",""
"","SUMMARY","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","",""
"","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL"
"","ABSENTEE BALLOT (FPCA)","4","5","0","0","2","0","11","4","BOARD ACTION","0","0","0","0","1","0","1"
"","BY MAIL","857","236","5","11","267","15","1,391","153","CONFIRMATION MAIL","15","6","0","0","4","0","25"
"","DESIGNATED STATE AGENCIES","461","84","6","13","217","17","798","200","COUNTY TRANSFER - OUT","2,687","793","13","32","864","27","4,416"
"","ELDERLY / DISABLED / SOC SEC","332","59","3","10","157","15","576","5","CRIMINAL CONVICTION","94","25","1","3","29","1","153"
"","ERIC REPORT","23","13","0","0","12","0","48","1","DEATH NOTICE","2,806","1,060","3","15","418","47","4,349"
"","FROM ANOTHER BOARD","18","7","0","0","7","0","32","8","DUPLICATE","19","7","0","0","8","2","36"
"","PROVISIONAL BALLOT","1","0","0","0","0","0","1","0","MAIL VERIFICATION (NVRA)","5,022","2,627","35","104","2,384","64","10,236"
"","IN PERSON","16","1","0","0","7","0","24","3","MENTAL INCOMPETENCY","0","0","0","0","0","0","0"
"","MOTOR VEHICLE ADMINISTRATION","6043","2139","38","130","3449","78","11,877","710","MOVED OUT OF STATE","235","216","2","2","120","6","581"
"","NVRA BY MAIL","20","7","0","0","13","0","40","9","OTHER","55","15","1","3","34","3","111"
"","ONLINE REGISTRATION","277","82","6","4","142","2","513","14","VOTER REQUEST","10","7","0","0","4","0","21"
"","OTHER MEANS","136","20","2","1","52","0","211","209","","","","","","","",""
"","RECRUITING","1","0","0","0","0","0","1","0","","","","","","","",""
"","SOCIAL SERVICES","1","3","0","0","3","0","7","1","","","","","","","",""
"","VOLUNTEER","54","9","0","0","24","0","87","0","","","","","","","",""
"","TOTAL","8,244","2,665","60","169","4,352","127","15,617","1,317","TOTAL","10,943","4,756","55","159","3,866","150","19,929"
