"REMOVALS
NEW REGISTRATION BY PARTY
SUMMARY","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","62","20","1","0","6","2","91","207","BOARD ACTION","0","0","0","1","4","0","5"
"BY MAIL","712","212","0","7","253","27","1,211","353","CONFIRMATION MAIL","2","1","0","0","1","0","4"
"DESIGNATED STATE AGENCIES","197","35","2","6","93","11","344","28","COUNTY TRANSFER - OUT","11,110","4,248","73","187","4,368","71","20,057"
"ELDERLY / DISABLED / SOC SEC","761","146","4","3","329","15","1,258","12","CRIMINAL CONVICTION","37","11","0","0","18","0","66"
"ERIC REPORT","3","0","0","0","0","0","3","1","DEATH NOTICE","2,551","1,133","7","6","397","46","4,140"
"FROM ANOTHER BOARD","24","10","0","0","3","1","38","27","DUPLICATE","121","33","0","0","38","7","199"
"PROVISIONAL BALLOT","2","0","0","0","2","0","4","2","MAIL VERIFICATION (NVRA)","4","0","0","0","0","0","4"
"IN PERSON","66","41","0","0","39","1","147","78","MENTAL INCOMPETENCY","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","15199","5891","96","330","8071","102","29,689","893","MOVED OUT OF STATE","636","280","1","5","269","11","1,202"
"NVRA BY MAIL","72","16","0","0","22","0","110","17","OTHER","69","8","0","2","47","5","131"
"ONLINE REGISTRATION","3498","875","28","70","1499","50","6,020","221","VOTER REQUEST","11","12","0","0","6","0","29"
"OTHER MEANS","230","60","2","4","84","3","383","251","","","","","","","",""
"RECRUITING","0","0","0","0","1","0","1","0","","","","","","","",""
"SOCIAL SERVICES","7","3","0","0","5","0","15","11","","","","","","","",""
"VOLUNTEER","207","43","1","4","98","2","355","0","","","","","","","",""
"TOTAL","21,040","7,352","134","424","10,505","214","39,669","2,101","TOTAL","14,541","5,726","81","201","5,148","140","25,837"
