"COUNTY","CHANGES","","PARTY AFFILIATION FROM","","","","","","","","TOTAL ACTIVE REGISTRATION","","","","","","","","ACTIVITY",""
"","ADDRESS","NAME","DEM","REP","BAR","GRN","LIB","UNAF","OTH","TOTAL","DEM","REP","BAR","GRN","LIB","UNAF","OTH","TOTAL","CONF 
MAILING","INACTIVE"
"ALLEGANY","119","57","29","15","0","0","2","12","4","62","13426","21760","0","135","289","7275","322","43,207","32","2006"
"ANNE ARUNDEL","2538","894","262","222","0","5","12","126","8","635","165882","137024","0","848","2984","86629","1470","394,837","2926","14621"
"BALTIMORE CITY","4622","2185","708","166","0","12","14","241","29","1,170","308597","31220","0","1278","1533","50642","1801","395,071","264","12774"
"BALTIMORE CO.","3212","3163","806","368","0","9","25","224","34","1,466","311834","143434","0","1401","3256","95166","4647","559,738","3511","18367"
"CALVERT","233","218","43","39","0","1","2","17","5","107","23788","27709","0","133","502","13580","378","66,090","390","2694"
"CAROLINE","59","44","17","4","0","0","1","12","1","35","6808","9535","0","29","130","3917","107","20,526","10","686"
"CARROLL","299","231","65","69","0","1","3","50","3","191","32539","63842","0","259","948","24649","824","123,061","58","4791"
"CECIL","504","231","82","32","0","2","1","33","0","150","21675","28978","0","150","454","14691","576","66,524","597","4573"
"CHARLES","579","291","90","46","0","0","1","24","3","164","69619","25167","0","174","527","18816","503","114,806","1219","4835"
"DORCHESTER","103","62","27","11","0","0","0","7","3","48","9892","8356","0","24","105","3145","105","21,627","27","813"
"FREDERICK","1121","470","92","100","0","1","5","72","1","271","66205","68244","0","435","1395","40675","356","177,310","4244","7229"
"GARRETT","98","31","17","8","0","0","0","3","0","28","4171","12987","0","37","113","2536","135","19,979","143","768"
"HARFORD","1206","491","163","89","0","0","7","71","5","335","65109","79000","0","398","1420","36438","1111","183,476","1267","6005"
"HOWARD","1491","476","141","124","0","6","9","83","9","372","110844","55969","0","503","1297","50066","1829","220,508","2963","6811"
"KENT","39","31","6","6","0","0","1","4","1","18","6047","4836","0","29","82","2152","108","13,254","27","570"
"MONTGOMERY","2313","2017","329","252","0","4","19","275","24","903","398833","114005","1","1609","3200","147089","5288","670,025","4362","45958"
"PR. GEORGE'S","1852","1334","300","82","0","7","5","118","21","533","463954","40675","0","1065","1735","71378","11266","590,073","30","19963"
"QUEEN ANNE'S","82","84","21","20","0","0","1","9","0","51","10787","18217","0","70","269","6762","185","36,290","34","1315"
"ST. MARY'S","319","173","43","32","0","1","0","25","6","107","25793","29906","0","139","586","14918","400","71,742","696","4933"
"SOMERSET","40","27","13","5","0","1","0","3","0","22","5886","5386","0","20","66","1892","75","13,325","28","385"
"TALBOT","108","77","13","13","0","0","0","9","0","35","10331","11643","0","48","164","4938","211","27,335","6","960"
"WASHINGTON","448","305","92","58","0","0","3","35","4","192","32495","43043","0","254","749","19753","615","96,909","701","5786"
"WICOMICO","620","166","63","29","0","0","2","23","2","119","26751","23221","0","138","430","11643","432","62,615","345","2299"
"WORCESTER","245","104","25","16","0","0","0","13","0","54","14056","17333","0","86","249","7094","315","39,133","915","1942"
"TOTAL","22,250","13,162","3,447","1,806","0","50","113","1,489","163","7,068","2,205,322","1,021,490","1","9,262","22,483","735,844","33,059","4,027,461","24,795","171,084"
