"","","","","","","","","","","","","","","","",""
"COUNTY","CHANGES","","PARTY AFFILIATION FROM","","","","","","TOTAL ACTIVE REGISTRATION","","","","","","ACTIVITY",""
"","ADDRESS","NAME","DEM","REP","BAR","UNAF","OTH","TOTAL","DEM","REP","BAR","UNAF","OTH","TOTAL","CONF 
MAILING","INACTIVE"
"ALLEGANY","153","49","35","15","0","13","6","69","13250","21904","0","7420","704","43,278","5","2217"
"ANNE ARUNDEL","2191","824","216","186","0","161","54","617","165653","135980","27","87623","4790","394,073","19","19120"
"BALTIMORE CITY","3088","1240","181","83","1","112","53","430","304849","30563","22","50918","4424","390,776","94","17544"
"BALTIMORE CO.","3070","1852","393","227","0","181","105","906","312430","143495","36","97286","8929","562,176","56","20399"
"CALVERT","333","163","32","31","0","18","16","97","23821","27789","2","13912","971","66,495","58","3052"
"CAROLINE","91","46","18","6","0","6","1","31","6719","9631","0","4016","256","20,622","1","747"
"CARROLL","554","226","55","63","1","36","18","173","32580","63930","5","25047","1876","123,438","10","5288"
"CECIL","281","126","46","16","0","32","8","102","21444","29042","5","14750","1146","66,387","17","5305"
"CHARLES","572","231","58","37","0","37","16","148","69579","24757","9","19048","1127","114,520","13","6341"
"DORCHESTER","96","44","15","14","0","2","3","34","9810","8389","0","3186","221","21,606","12","914"
"FREDERICK","998","410","78","83","0","105","43","309","66435","67813","12","41128","1945","177,333","4","9682"
"GARRETT","66","35","11","2","0","4","1","18","4055","12949","1","2567","266","19,838","3","961"
"HARFORD","966","447","114","80","0","78","24","296","64480","78840","17","36851","2673","182,861","65","8127"
"HOWARD","1079","429","78","135","0","100","21","334","110900","54878","12","50551","3352","219,693","11","9447"
"KENT","64","32","7","6","0","1","3","17","6017","4846","2","2199","194","13,258","1","641"
"MONTGOMERY","3173","1751","263","240","0","326","61","890","395097","111306","21","146338","9719","662,481","98","56979"
"PR. GEORGE'S","3207","1568","293","104","0","158","85","640","462939","40037","39","73081","13632","589,728","314","28952"
"QUEEN ANNE'S","189","91","28","13","0","17","2","60","10716","18332","1","6917","495","36,461","1","1461"
"ST. MARY'S","352","166","55","36","0","23","10","124","25466","29740","6","14932","1033","71,177","22","6107"
"SOMERSET","65","28","5","0","0","2","2","9","5805","5453","0","1927","157","13,342","0","469"
"TALBOT","149","78","14","10","0","10","3","37","10308","11630","2","4991","395","27,326","9","1060"
"WASHINGTON","455","182","65","37","0","32","13","147","32162","42965","4","19805","1529","96,465","16","7412"
"WICOMICO","352","161","40","18","1","27","5","91","26443","23238","6","11815","952","62,454","20","3011"
"WORCESTER","250","83","27","24","1","9","6","67","13920","17426","0","7259","610","39,215","36","2215"
"TOTAL","21,794","10,262","2,127","1,466","4","1,490","559","5,646","2,194,878","1,014,933","229","743,567","61,396","4,015,003","885","217,451"
