"","","","","","","","","","","","","","",""
"SUMMARY","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","",""
"","DEM","REP","","BAR UNAF","OTH","TOTAL","DUPS","","DEM","REP","","BAR UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","7","6","0","3","0","16","63","BOARD ACTION","0","0","0","0","0","0"
"BY MAIL","315","108","0","117","9","549","131","CONFIRMATION MAIL","8","1","0","1","2","12"
"DESIGNATED STATE AGENCIES","235","40","0","160","28","463","25","COUNTY TRANSFER - OUT","4,250","1,404","1","1,511","170","7,336"
"ELDERLY / DISABLED / SOC SEC","445","81","2","201","76","805","4","CRIMINAL CONVICTION","75","16","0","22","4","117"
"ERIC REPORT","0","3","0","1","0","4","7","DEATH NOTICE","1,497","691","0","237","33","2,458"
"FROM ANOTHER BOARD","0","0","0","0","0","0","0","DUPLICATE","2","0","0","0","0","2"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","613","160","0","250","24","1,047"
"IN PERSON","36","18","0","18","0","72","41","MENTAL INCOMPETENCY","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","8810","3193","23","4984","187","17,197","7,832","MOVED OUT OF STATE","201","147","0","75","7","430"
"NVRA BY MAIL","50","9","0","15","1","75","13","OTHER","21","8","0","11","0","40"
"ONLINE REGISTRATION","1267","438","6","611","36","2,358","153","VOTER REQUEST","24","11","0","11","2","48"
"OTHER MEANS","2","1","0","0","0","3","9","","","","","","",""
"RECRUITING","0","1","0","0","0","0","0","","","","","","",""
"SOCIAL SERVICES","4","0","0","3","0","7","2","","","","","","",""
"VOLUNTEER","167","55","0","79","1","302","13","","","","","","",""
"TOTAL","11,338","3,953","31","6,192","338","21,851","8,293","TOTAL","6,691","2,438","1","2,118","242","11,490"
