"","","","","","","","","","","","","","","","",""
"","SUMMARY","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","",""
"","","DEM","REP","","BAR UNAF","OTH","TOTAL","DUPS","","","DEM","REP","","BAR UNAF","OTH","TOTAL"
"","ABSENTEE BALLOT (FPCA)","131","25","0","6","6","168","398","","BOARD ACTION","0","0","0","4","0","4"
"","BY MAIL","732","210","0","242","14","1,198","1,383","","CONFIRMATION MAIL","2","4","0","1","0","7"
"","DESIGNATED STATE AGENCIES","398","83","0","240","45","766","141","","COUNTY TRANSFER - OUT","4,665","1,388","4","1,607","149","7,813"
"","ELDERLY / DISABLED / SOC SEC","1548","237","2","474","91","2,352","5","","CRIMINAL CONVICTION","100","23","1","36","2","162"
"","ERIC REPORT","1","0","0","0","0","1","0","","DEATH NOTICE","1,729","836","0","282","42","2,889"
"","FROM ANOTHER BOARD","0","0","0","0","0","0","0","","DUPLICATE","187","56","0","44","7","294"
"","PROVISIONAL BALLOT","7","0","0","0","0","7","17","","MAIL VERIFICATION (NVRA)","2","1","0","0","0","3"
"","IN PERSON","90","27","0","12","0","129","21","","MENTAL INCOMPETENCY","0","0","0","0","0","0"
"","MOTOR VEHICLE ADMINISTRATION","7836","2770","13","4192","165","14,976","1,596","","MOVED OUT OF STATE","159","94","0","71","3","327"
"","NVRA BY MAIL","78","40","0","22","2","142","28","","OTHER","14","7","0","12","2","35"
"","ONLINE REGISTRATION","2354","501","2","732","26","3,615","613","","VOTER REQUEST","11","9","0","12","1","33"
"","OTHER MEANS","127","27","0","46","0","200","128","","","","","","","",""
"","RECRUITING","1","0","0","0","0","0","0","","","","","","","",""
"","SOCIAL SERVICES","5","0","0","2","0","7","6","","","","","","","",""
"","VOLUNTEER","199","30","0","74","0","303","5","","","","","","","",""
"","TOTAL","13,507","3,950","17","6,042","349","23,864","4,341","","TOTAL","6,869","2,418","5","2,069","206","11,567"
