"","","","","","","","","","","","","","","","","",""
"","REMOVALS
NEW REGISTRATION BY PARTY
SUMMARY","","","","","","","","","","","","","","","",""
"","","DEM","REP","","WCP BAR UNAF","","OTH","TOTAL","DUPS","","DEM","REP","","WCP BAR UNAF","","OTH","TOTAL"
"","ABSENTEE BALLOT (FPCA)","62","16","0","0","9","5","92","336","BOARD ACTION","0","0","0","0","0","0","0"
"","BY MAIL","639","147","0","0","172","20","978","401","CONFIRMATION MAIL","9","0","0","0","2","0","11"
"","DESIGNATED STATE AGENCIES","520","97","1","0","279","86","983","82","COUNTY TRANSFER - OUT","2,906","940","0","3","950","89","4,888"
"","ELDERLY / DISABLED / SOC SEC","1195","169","0","2","441","216","2,023","9","CRIMINAL CONVICTION","68","12","0","0","16","0","96"
"","ERIC REPORT","2","0","0","0","0","0","2","1","DEATH NOTICE","2,127","947","0","0","321","40","3,435"
"","FROM ANOTHER BOARD","0","0","0","0","0","0","0","0","DUPLICATE","18","2","0","0","7","1","28"
"","PROVISIONAL BALLOT","10","0","0","0","1","0","11","0","MAIL VERIFICATION (NVRA)","9","0","0","0","2","0","11"
"","IN PERSON","11","2","0","0","9","0","22","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0"
"","MOTOR VEHICLE ADMINISTRATION","1781","831","0","7","920","49","3,588","229","MOVED OUT OF STATE","411","261","0","1","161","12","846"
"","NVRA BY MAIL","38","11","0","0","17","0","66","10","OTHER","11","4","0","0","8","4","27"
"","ONLINE REGISTRATION","1178","376","3","0","450","24","2,031","157","VOTER REQUEST","10","7","0","0","4","7","28"
"","OTHER MEANS","175","19","0","1","61","3","259","100","","","","","","","",""
"","RECRUITING","0","0","0","0","0","0","0","0","","","","","","","",""
"","SOCIAL SERVICES","1","0","0","0","2","0","3","1","","","","","","","",""
"","VOLUNTEER","2","0","0","0","1","0","3","0","","","","","","","",""
"","TOTAL","5,614","1,668","4","10","2,362","403","10,061","1,326","TOTAL","5,569","2,173","0","4","1,471","153","9,370"
