"","","","","","","","","","","","","","","","","",""
"","SUMMARY","REMOVALS
NEW REGISTRATION BY PARTY","","","","","","","","","","","","","","",""
"","","DEM","REP","WCP","BAR","UNAF","OTH","TOTAL","DUPS","","DEM","REP","WCP","BAR","UNAF","OTH","TOTAL"
"","ABSENTEE BALLOT (FPCA)","40","2","0","0","12","5","59","56","BOARD ACTION","0","0","0","0","0","0","0"
"","BY MAIL","644","104","0","1","131","8","888","991","CONFIRMATION MAIL","5","5","0","0","1","0","11"
"","DESIGNATED STATE AGENCIES","259","29","1","2","155","31","477","7","COUNTY TRANSFER - OUT","3,604","1,100","0","1","1,265","100","6,070"
"","ELDERLY / DISABLED / SOC SEC","727","115","1","0","203","60","1,106","4","CRIMINAL CONVICTION","4","3","0","0","2","0","9"
"","ERIC REPORT","1","2","0","0","0","0","3","7","DEATH NOTICE","2,735","1,273","0","0","447","56","4,511"
"","FROM ANOTHER BOARD","0","0","0","0","0","0","0","0","DUPLICATE","24","6","0","0","2","0","32"
"","PROVISIONAL BALLOT","855","59","0","1","123","9","1,047","149","MAIL VERIFICATION (NVRA)","14","3","0","0","3","0","20"
"","IN PERSON","28","5","0","0","4","0","37","118","MENTAL INCOMPETENCY","0","0","0","0","0","0","0"
"","MOTOR VEHICLE ADMINISTRATION","3649","1769","11","2","2133","87","7,651","705","MOVED OUT OF STATE","448","430","0","0","167","16","1,061"
"","NVRA BY MAIL","6","6","0","0","7","0","19","3","OTHER","5","1","0","0","2","0","8"
"","ONLINE REGISTRATION","1476","528","7","1","765","47","2,824","18","VOTER REQUEST","8","8","0","0","6","1","23"
"","OTHER MEANS","86","19","0","0","14","1","120","69","","","","","","","",""
"","RECRUITING","0","0","0","0","0","0","0","0","","","","","","","",""
"","SAME DAY REGISTRATION","329","48","0","0","14","0","391","0","","","","","","","",""
"","SOCIAL SERVICES","0","0","0","0","0","0","0","0","","","","","","","",""
"","VOLUNTEER","34","2","0","0","14","2","52","2","","","","","","","",""
"","TOTAL","8,134","2,688","20","7","3,575","250","14,674","2,129","TOTAL","6,847","2,829","0","1","1,895","173","11,745"
