"","SUMMARY","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","","","",""
"","","DEM","REP","GRN","LIB","WCP","BAR","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","WCP","BAR","UNAF","OTH","TOTAL"
"","ABSENTEE BALLOT (FPCA)","1","0","0","0","0","0","1","0","2","373","BOARD ACTION","0","0","0","0","0","0","0","0","0"
"","BY MAIL","298","102","2","5","0","1","97","13","518","202","CONFIRMATION MAIL","8","0","0","0","0","0","3","0","11"
"","DESIGNATED STATE AGENCIES","217","55","0","0","4","1","154","15","446","41","COUNTY TRANSFER - OUT","5,833","2,140","22","66","10","8","2,249","100","10,428"
"","ELDERLY / DISABLED / SOC SEC","210","42","1","0","1","0","135","48","437","1","CRIMINAL CONVICTION","61","8","0","0","1","0","22","1","93"
"","ERIC REPORT","993","468","4","15","3","2","477","18","1,980","3","DEATH NOTICE","1,537","726","3","6","1","1","295","35","2,604"
"","FROM ANOTHER BOARD","0","0","0","0","0","0","0","0","0","0","DUPLICATE","48","6","0","1","0","0","8","2","65"
"","PROVISIONAL BALLOT","0","1","0","0","0","0","0","0","1","5","MAIL VERIFICATION (NVRA)","1,666","586","17","22","2","0","910","49","3,252"
"","IN PERSON","8","2","0","0","0","0","2","0","12","4","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0","0"
"","MOTOR VEHICLE ADMINISTRATION","10778","3429","36","162","35","10","6281","160","20,891","1,039","MOVED OUT OF STATE","195","98","1","2","0","0","86","7","389"
"","NVRA BY MAIL","5","3","0","0","0","0","6","0","14","0","OTHER","44","10","1","0","0","1","34","3","93"
"","ONLINE REGISTRATION","300","89","0","5","2","0","144","3","543","6","VOTER REQUEST","21","13","0","0","0","0","13","2","49"
"","OTHER MEANS","17","2","0","1","0","0","4","0","24","297","","","","","","","","","",""
"","RECRUITING","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"","SAME DAY PROVISIONAL","0","1","0","0","0","0","0","0","1","1","","","","","","","","","",""
"","SOCIAL SERVICES","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"","VOLUNTEER","5","2","0","0","0","0","2","0","9","0","","","","","","","","","",""
"","TOTAL","12,832","4,196","43","188","45","14","7,303","257","24,878","1,972","TOTAL","9,413","3,587","44","97","14","10","3,620","199","16,984"
