"","COUNTY","CHANGES","","PARTY AFFILIATION FROM","","","","","","","","","TOTAL ACTIVE REGISTRATION","","","","","","","","","ACTIVITY",""
"","","ADDRESS","NAME","DEM","REP","GRN","LIB","WCP","BAR","UNAF","OTH","TOTAL","DEM","REP","GRN","LIB","WCP","BAR","UNAF","OTH","TOTAL","CONF 
MAILING","INACTIVE"
"","ALLEGANY","317","58","41","18","0","2","0","0","13","3","77","12378","22609","76","220","36","21","8035","409","43,784","38","2390"
"","ANNE ARUNDEL","4570","1355","260","233","1","15","2","0","134","30","675","175752","131977","598","2110","250","117","94632","2851","408,287","6543","24065"
"","BALTIMORE CITY","3742","1984","255","82","2","6","2","1","74","15","437","307438","28979","842","1019","402","157","54202","3678","396,717","5069","20283"
"","BALTIMORE CO.","4669","2919","413","286","7","13","2","1","139","71","932","313783","139909","881","2373","411","136","104121","6088","567,702","2539","30984"
"","CALVERT","700","180","38","39","1","2","1","0","21","9","111","24292","27554","86","369","33","20","14933","571","67,858","110","4815"
"","CAROLINE","203","61","14","8","0","0","0","0","3","2","27","6534","10228","33","91","24","2","4429","171","21,512","154","971"
"","CARROLL","1187","308","58","82","0","2","0","0","44","18","204","33989","63774","179","738","56","33","27644","1095","127,508","2927","5750"
"","CECIL","353","169","42","28","0","1","0","0","15","10","96","21292","31304","103","398","60","12","16001","739","69,909","312","4378"
"","CHARLES","881","404","79","48","1","0","1","0","13","5","147","73774","23999","116","375","98","20","21037","828","120,247","51","7573"
"","DORCHESTER","166","84","14","5","0","1","0","0","6","0","26","9743","8830","20","99","20","5","3546","179","22,442","45","848"
"","FREDERICK","2252","613","120","115","2","5","0","0","66","8","316","74616","68009","293","1052","113","58","46253","932","191,326","613","10373"
"","GARRETT","95","62","14","8","0","0","0","0","3","1","26","3878","13521","25","92","16","5","2707","163","20,407","87","955"
"","HARFORD","1911","535","155","97","0","3","1","0","57","13","326","66247","79512","236","1092","95","59","40022","1610","188,873","347","10457"
"","HOWARD","2003","962","104","114","1","5","1","0","54","28","307","120721","50566","316","862","79","51","54926","2035","229,556","918","11002"
"","KENT","92","36","4","4","0","0","0","0","1","2","11","5942","5072","19","51","11","3","2480","118","13,696","54","698"
"","MONTGOMERY","5831","2569","316","227","3","11","1","1","178","39","776","412889","101053","1035","2136","287","190","154659","5876","678,125","4226","61389"
"","PR. GEORGE'S","4897","3062","309","74","3","2","2","1","90","66","547","470375","38224","718","1240","346","148","81249","11119","603,419","1302","29938"
"","QUEEN ANNE'S","372","90","23","28","0","2","0","0","8","4","65","11187","19187","42","218","15","7","7744","302","38,702","139","1473"
"","ST. MARY'S","646","192","38","38","0","1","0","0","15","7","99","26511","30767","107","435","46","17","16478","629","74,990","63","5974"
"","SOMERSET","89","32","7","10","0","0","1","0","4","1","23","5648","5825","24","58","9","5","2210","100","13,879","5","444"
"","TALBOT","284","89","17","16","0","0","0","0","11","2","46","10887","11691","31","132","16","3","5495","273","28,528","192","1090"
"","WASHINGTON","1247","324","94","58","1","5","1","0","45","12","216","32089","43911","140","581","70","29","21292","867","98,979","1804","8744"
"","WICOMICO","439","220","47","36","0","1","0","0","21","6","111","27287","23747","91","320","63","16","12965","674","65,163","2","3567"
"","WORCESTER","430","82","11","18","0","1","0","0","12","5","47","14103","18501","52","200","14","7","8042","489","41,408","299","2452"
"","TOTAL","37,376","16,390","2,473","1,672","22","78","15","4","1,027","357","5,648","2,261,355","998,749","6,063","16,261","2,570","1,121","805,102","41,796","4,133,017","27,839","250,613"
