"COUNTY","CHANGES","","PARTY AFFILIATION FROM","","","","","","","","","TOTAL ACTIVE REGISTRATION","","","","","","","","","ACTIVITY",""
"","ADDRESS","NAME","DEM","REP","GRN","LIB","WCP","BAR","UNAF","OTH","TOTAL","DEM","REP","GRN","LIB","WCP","BAR","UNAF","OTH","TOTAL","CONF 
MAILING","INACTIVE"
"ALLEGANY","379","67","57","17","1","5","0","1","17","4","102","12309","22610","75","220","38","19","8053","405","43,729","235","2507"
"ANNE ARUNDEL","3884","1086","224","183","1","11","1","1","134","25","580","175331","131274","606","2112","255","119","94595","2865","407,157","1358","26171"
"BALTIMORE CITY","5922","1731","214","72","5","8","3","1","88","31","422","305599","28709","841","1007","413","158","54001","3694","394,422","6429","22678"
"BALTIMORE CO.","7681","2264","396","226","2","11","4","1","126","57","823","311836","138891","869","2363","417","135","103579","6038","564,128","10549","34364"
"CALVERT","519","177","48","31","0","2","0","0","19","5","105","24169","27394","87","375","34","20","14935","569","67,583","4744","5149"
"CAROLINE","136","63","15","7","0","0","1","0","4","1","28","6500","10200","33","93","24","2","4433","170","21,455","2","1060"
"CARROLL","879","295","89","73","2","2","0","0","47","23","236","33895","63556","175","749","58","34","27658","1091","127,216","28","6268"
"CECIL","700","200","49","30","2","2","0","0","25","10","118","21208","31253","100","405","60","13","16001","726","69,766","319","4712"
"CHARLES","1504","371","78","27","0","0","3","0","13","4","125","73652","23729","118","376","97","20","21009","827","119,828","1339","8194"
"DORCHESTER","281","44","16","7","0","0","0","0","1","2","26","9731","8849","20","99","22","6","3588","178","22,493","199","874"
"FREDERICK","1836","680","125","117","2","5","0","0","76","9","334","74796","67767","289","1057","115","57","46390","936","191,407","131","11159"
"GARRETT","161","56","17","9","0","1","0","0","3","0","30","3860","13485","27","91","16","5","2713","162","20,359","71","1025"
"HARFORD","1811","541","123","94","0","1","0","2","51","11","282","66025","79216","236","1109","100","55","40015","1601","188,357","1373","11265"
"HOWARD","2331","962","99","117","3","7","0","0","38","18","282","120606","50137","311","852","80","51","54908","2030","228,975","1215","12198"
"KENT","150","35","8","9","0","0","0","0","1","2","20","5898","5066","19","51","12","3","2489","114","13,652","46","765"
"MONTGOMERY","5866","2507","328","201","4","13","4","1","168","44","763","410616","100085","1040","2127","290","191","154232","5841","674,422","9642","66043"
"PR. GEORGE'S","4897","1975","305","88","5","5","0","1","68","65","537","468019","37909","709","1235","351","149","81153","11082","600,607","19309","32579"
"QUEEN ANNE'S","468","91","32","13","0","0","0","0","15","3","63","11126","19144","43","221","15","6","7775","300","38,630","199","1621"
"ST. MARY'S","852","179","49","54","0","0","0","0","23","5","131","26389","30619","108","436","47","17","16465","622","74,703","1031","6420"
"SOMERSET","126","24","7","1","0","0","0","0","3","2","13","5621","5830","23","60","9","5","2206","101","13,855","211","493"
"TALBOT","178","84","12","10","0","3","0","0","2","3","30","10876","11639","34","130","15","4","5504","274","28,476","76","1187"
"WASHINGTON","687","293","71","44","0","4","0","0","30","5","154","31911","43767","140","580","77","30","21333","866","98,704","69","9212"
"WICOMICO","800","185","34","34","2","1","0","1","11","11","94","27150","23600","90","322","65","14","12977","666","64,884","662","3833"
"WORCESTER","358","81","21","17","0","1","0","0","11","6","56","14054","18494","52","197","16","8","8067","485","41,373","62","2610"
"TOTAL","42,406","13,991","2,417","1,481","29","82","16","9","974","346","5,354","2,251,177","993,223","6,045","16,267","2,626","1,121","804,079","41,643","4,116,181","59,299","272,387"
