"SUMMARY","REMOVALS
NEW REGISTRATION BY PARTY","","","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","WCP","BAR","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","WCP","BAR","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","1","2","0","0","0","0","0","0","3","3","BOARD ACTION","1","0","0","0","0","0","0","0","1"
"BY MAIL","108","46","0","2","1","0","59","7","223","176","CONFIRMATION MAIL","5","6","0","0","0","0","8","0","19"
"DESIGNATED STATE AGENCIES","217","54","0","0","5","1","171","29","477","18","COUNTY TRANSFER - OUT","2,986","1,066","15","30","6","4","1,195","78","5,380"
"ELDERLY / DISABLED / SOC SEC","154","32","1","1","0","1","74","10","273","0","CRIMINAL CONVICTION","98","22","0","0","1","0","33","6","160"
"ERIC REPORT","1","0","0","0","0","0","0","0","1","0","DEATH NOTICE","48","47","2","0","0","0","9","2","108"
"FROM ANOTHER BOARD","0","0","0","0","0","0","0","0","0","0","DUPLICATE","141","31","0","1","0","0","36","5","214"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","360","195","5","9","2","0","181","8","760"
"IN PERSON","5","2","0","0","0","0","3","0","10","2","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","6461","2446","38","114","49","6","4363","187","13,664","447","MOVED OUT OF STATE","216","113","0","10","0","1","76","2","418"
"NVRA BY MAIL","9","3","0","0","0","0","8","0","20","2","OTHER","211","67","1","1","1","0","92","14","387"
"ONLINE REGISTRATION","158","58","2","4","1","2","88","2","315","5","VOTER REQUEST","11","10","0","0","1","0","14","0","36"
"OTHER MEANS","58","9","0","2","0","1","24","3","97","38","","","","","","","","","",""
"RECRUITING","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"SAME DAY REGISTRATION","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"VOLUNTEER","10","0","0","0","0","0","1","0","11","0","","","","","","","","","",""
"TOTAL","7,182","2,652","41","123","56","11","4,791","238","15,094","691","TOTAL","4,077","1,557","23","51","11","5","1,644","115","7,483"
