"REMOVALS
NEW REGISTRATION BY PARTY
SUMMARY","","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","","WCP UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","WCP","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","85","15","0","0","0","21","2","123","27","BOARD ACTION","0","0","0","0","0","0","0","0"
"BY MAIL","38","26","1","1","0","13","3","82","11","CONFIRMATION MAIL","1","2","0","0","0","0","0","3"
"DESIGNATED STATE AGENCIES","13","4","0","0","1","13","1","32","2","COUNTY TRANSFER - OUT","3,507","1,061","14","32","7","1,129","52","5,802"
"ELDERLY / DISABLED / SOC SEC","233","59","0","3","2","80","4","381","1","CRIMINAL CONVICTION","76","15","0","0","2","24","1","118"
"ERIC REPORT","3","0","0","0","0","0","0","3","0","DEATH NOTICE","1,490","805","3","2","3","328","30","2,661"
"FROM ANOTHER BOARD","0","0","0","0","0","0","0","0","0","DUPLICATE","17","6","0","0","0","5","0","28"
"PROVISIONAL BALLOT","6045","1594","21","50","11","2029","90","9,840","2,019","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0","0"
"IN PERSON","14","7","0","0","0","1","0","22","41","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","941","546","10","20","7","787","27","2,338","49","MOVED OUT OF STATE","213","118","3","4","0","72","3","413"
"NVRA BY MAIL","1","4","0","1","0","2","0","8","1","OTHER","50","16","0","2","0","36","5","109"
"ONLINE REGISTRATION","313","43","0","2","1","80","3","442","3","VOTER REQUEST","15","8","0","0","0","8","1","32"
"OTHER MEANS","177","73","0","1","3","87","2","343","73","","","","","","","","",""
"RECRUITING","0","0","0","0","0","0","0","0","0","","","","","","","","",""
"SAME DAY REGISTRATION","2482","1113","6","17","6","1034","34","4,692","0","","","","","","","","",""
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","0","","","","","","","","",""
"VOLUNTEER","2","0","0","0","0","0","0","2","0","","","","","","","","",""
"TOTAL","10,347","3,484","38","95","31","4,147","166","18,308","2,227","TOTAL","5,369","2,031","20","40","12","1,602","92","9,166"
