"COUNTY","CHANGES","","PARTY AFFILIATION FROM","","","","","","","","TOTAL ACTIVE REGISTRATION","","","","","","","","ACTIVITY",""
"","ADDRESS","NAME","DEM","REP","GRN","LIB","WCP","UNAF","OTH","TOTAL","DEM","REP","GRN","LIB","WCP","UNAF","OTH","TOTAL","CONF 
MAILING","INACTIVE"
"ALLEGANY","179","86","9","15","1","2","0","34","3","64","11899","23004","77","233","77","8482","383","44,155","480","2945"
"ANNE ARUNDEL","1786","1655","51","31","2","2","0","60","7","153","176322","131352","654","2323","447","99218","3026","413,342","0","32884"
"BALTIMORE CITY","2365","956","31","6","0","0","2","30","5","74","305971","28368","925","1088","674","57504","4008","398,538","3","25775"
"BALTIMORE CO.","1982","1622","17","8","0","0","1","17","7","50","312409","138517","915","2540","705","109230","5976","570,292","0","38451"
"CALVERT","341","568","58","30","2","5","3","87","17","202","24159","28314","102","431","71","15603","554","69,234","1004","5664"
"CAROLINE","188","94","21","16","0","2","0","29","8","76","6338","10708","35","114","43","4602","164","22,004","424","1292"
"CARROLL","507","221","56","42","4","7","0","66","16","191","33934","64548","195","805","106","28980","1038","129,606","3499","7071"
"CECIL","156","184","16","9","1","4","2","20","5","57","20896","32428","116","458","104","16777","680","71,459","1136","5738"
"CHARLES","552","438","88","30","0","9","0","92","16","235","75233","23536","132","424","148","22336","861","122,670","2712","9757"
"DORCHESTER","109","64","8","5","0","1","1","7","3","25","9661","9059","22","111","32","3831","190","22,906","440","1040"
"FREDERICK","1244","869","70","55","1","6","0","92","8","232","78067","69279","337","1180","186","49629","1100","199,778","6101","12716"
"GARRETT","103","32","15","7","0","1","0","18","2","43","3734","13755","24","106","20","2849","156","20,644","205","1210"
"HARFORD","954","767","124","86","1","7","5","164","28","415","65978","81112","250","1221","213","42015","1662","192,451","3339","13103"
"HOWARD","831","663","31","12","0","0","0","39","5","87","122784","49466","359","919","142","57880","2001","233,551","0","14399"
"KENT","56","14","0","1","0","0","0","1","0","2","5913","5274","20","68","22","2619","113","14,029","0","850"
"MONTGOMERY","3085","5008","31","13","0","0","0","42","7","93","416702","98558","1144","2292","459","162053","5577","686,785","0","74509"
"PR. GEORGE'S","2188","1862","17","2","0","1","0","18","4","42","466379","37977","798","1348","604","87010","10824","604,940","0","39697"
"QUEEN ANNE'S","206","117","12","6","0","0","0","9","0","27","11244","19877","47","230","36","8148","304","39,886","614","1943"
"ST. MARY'S","576","328","82","33","2","4","0","73","6","200","25852","32326","112","489","91","17212","662","76,744","2172","7463"
"SOMERSET","47","8","3","1","0","0","0","6","1","11","5615","6065","24","63","16","2320","116","14,219","223","544"
"TALBOT","238","191","27","27","0","1","0","23","6","84","10968","11848","44","147","21","5781","221","29,030","511","1401"
"WASHINGTON","317","249","9","10","1","2","0","26","5","53","31819","44518","174","639","126","22480","869","100,625","1325","10711"
"WICOMICO","402","262","40","33","2","4","2","38","11","130","27045","24205","111","358","109","13827","669","66,324","1485","4415"
"WORCESTER","137","75","7","10","0","0","0","14","6","37","13954","19346","57","217","37","8544","460","42,615","2904","3023"
"TOTAL","18,549","16,333","823","488","17","58","16","1,005","176","2,583","2,262,876","1,003,440","6,674","17,804","4,489","848,930","41,614","4,185,827","28,577","316,601"
