"SUMMARY","REMOVALS
NEW REGISTRATION BY PARTY","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","","WCP UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","WCP","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","14","4","0","0","0","4","0","22","269","BOARD ACTION","0","0","0","0","0","0","0","0"
"BY MAIL","666","260","4","6","1","268","14","1,219","165","CONFIRMATION MAIL","11","6","0","1","0","11","0","29"
"DESIGNATED STATE AGENCIES","279","71","0","0","8","180","11","549","29","COUNTY TRANSFER - OUT","6,663","2,593","31","57","26","2,888","121","12,379"
"ELDERLY / DISABLED / SOC SEC","0","1","0","0","0","0","0","1","0","CRIMINAL CONVICTION","0","1","0","0","0","0","0","1"
"ERIC REPORT","1643","662","6","18","3","800","35","3,167","8","DEATH NOTICE","2,008","971","2","6","1","354","29","3,371"
"FROM ANOTHER BOARD","0","0","0","0","0","0","0","0","0","DUPLICATE","116","49","0","1","0","29","8","203"
"PROVISIONAL BALLOT","101","20","0","1","1","21","0","144","858","MAIL VERIFICATION (NVRA)","22,443","11,466","110","432","72","14,987","637","50,147"
"IN PERSON","43","20","0","0","0","11","0","74","353","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","8790","4275","55","174","91","7011","297","20,693","945","MOVED OUT OF STATE","352","285","3","7","0","172","6","825"
"NVRA BY MAIL","31","10","0","0","0","12","2","55","4","OTHER","19","5","0","0","0","9","2","35"
"ONLINE REGISTRATION","143","59","1","2","1","90","4","300","7","VOTER REQUEST","23","7","0","1","0","17","3","51"
"OTHER MEANS","28","12","0","0","0","10","1","51","88","","","","","","","","",""
"RECRUITING","0","0","0","0","0","0","0","0","0","","","","","","","","",""
"SAME DAY REGISTRATION","6","1","0","0","0","1","0","8","2","","","","","","","","",""
"SOCIAL SERVICES","109","40","0","1","1","51","14","216","0","","","","","","","","",""
"VOLUNTEER","9","2","0","0","1","0","0","12","0","","","","","","","","",""
"TOTAL","11,862","5,437","66","202","107","8,459","378","26,511","2,728","TOTAL","31,635","15,383","146","505","99","18,467","806","67,041"
