"SUMMARY","","REMOVALS
NEW REGISTRATION BY PARTY","","","","","","","","","","","","",""
"","","DEM","REP","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","","5","0","0","0","0","5","5","BOARD ACTION","1","0","0","0","0","1"
"BY MAIL","","346","97","1","104","17","565","233","CONFIRMATION MAIL","41","27","1","22","3","94"
"DESIGNATED STATE AGENCIES","","240","85","3","178","20","526","36","COUNTY TRANSFER - OUT","4,698","1,298","47","1,807","141","7,991"
"ELDERLY / DISABLED / SOC SEC","","103","20","2","64","12","201","0","CRIMINAL CONVICTION","46","8","0","20","3","77"
"ERIC REPORT","","1231","322","16","534","32","2,135","4","DEATH NOTICE","1,994","1,042","5","394","40","3,475"
"FROM ANOTHER BOARD","","0","0","0","0","0","0","0","DUPLICATE","120","31","2","24","3","180"
"PROVISIONAL BALLOT","","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","9,680","3,849","140","4,530","286","18,485"
"IN PERSON","","6","1","0","3","0","10","17","MENTAL INCOMPETENCY","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","","8151","2441","113","5850","397","16,952","334","MOVED OUT OF STATE","208","152","5","103","6","474"
"NVRA BY MAIL","","1","4","0","3","0","8","0","OTHER","42","10","1","30","4","87"
"ONLINE REGISTRATION","","239","63","5","119","6","432","1","VOTER REQUEST","16","7","0","10","2","35"
"OTHER MEANS","","39","4","0","10","2","55","17","","","","","","",""
"RECRUITING","","0","0","0","0","0","0","0","","","","","","",""
"SAME DAY REGISTRATION","","1","0","0","0","0","1","0","","","","","","",""
"SOCIAL SERVICES","","0","0","0","0","0","0","0","","","","","","",""
"VOLUNTEER","","5","0","0","5","0","10","0","","","","","","",""
"TOTAL","","10,367","3,037","140","6,870","486","20,900","647","TOTAL","16,846","6,424","201","6,940","488","30,899"
