"COUNTY","CHANGES","","PARTY AFFILIATION FROM","","","","","","TOTAL ACTIVE REGISTRATION","","","","","","ACTIVITY",""
"","ADDRESS","NAME","DEM","REP","LIB","UNAF","OTH","TOTAL","DEM","REP","LIB","UNAF","OTH","TOTAL","CONF 
MAILING","INACTIVE"
"ALLEGANY","199","78","28","12","0","10","2","52","11623","22829","231","8516","546","43,745","47","2362"
"ANNE ARUNDEL","2074","942","142","115","6","102","18","383","175413","130033","2345","99289","4124","411,204","637","26641"
"BALTIMORE CITY","3712","1548","176","46","3","62","28","315","302397","28014","1099","57690","5698","394,898","1401","21156"
"BALTIMORE CO.","4014","1597","236","118","16","105","38","513","310258","137154","2548","110082","7655","567,697","385","28954"
"CALVERT","304","140","30","25","1","17","3","76","23846","27978","449","15497","728","68,498","208","4773"
"CAROLINE","149","44","3","3","0","3","0","9","6207","10588","122","4565","243","21,725","166","166"
"CARROLL","550","229","40","42","2","17","6","107","33608","63829","809","29121","1335","128,702","81","5737"
"CECIL","274","183","21","16","0","20","5","62","20561","32315","468","16842","917","71,103","1381","4630"
"CHARLES","608","315","60","20","0","17","10","107","74677","23117","423","22419","1165","121,801","42","8226"
"DORCHESTER","107","40","2","5","1","4","1","13","9619","9052","113","3872","248","22,904","128","885"
"FREDERICK","1565","537","77","61","2","51","8","199","76769","67660","1156","49268","1651","196,504","3021","12584"
"GARRETT","99","29","4","4","0","3","1","12","3696","13674","109","2873","202","20,554","157","924"
"HARFORD","959","391","58","55","1","48","13","175","65291","80419","1214","42130","2142","191,196","357","10538"
"HOWARD","1093","460","74","39","1","54","8","176","121570","48482","914","57973","2488","231,427","430","12563"
"KENT","55","21","1","3","0","4","1","9","5847","5222","66","2635","158","13,928","31","682"
"MONTGOMERY","5249","3465","495","197","16","270","54","1,032","411372","96868","2232","160131","7050","677,653","7960","58498"
"PR. GEORGE'S","4829","3934","613","122","6","202","101","1,044","458716","37225","1327","86465","12095","595,828","1675","36506"
"QUEEN ANNE'S","228","71","11","6","1","6","2","26","11113","19796","226","8189","383","39,707","293","1764"
"ST. MARY'S","527","168","22","22","2","20","1","67","25041","31587","462","16648","838","74,576","548","6766"
"SOMERSET","122","26","5","4","0","4","0","13","5557","6083","66","2327","156","14,189","72","421"
"TALBOT","168","67","7","7","2","1","0","17","10783","11722","144","5727","285","28,661","25","1272"
"WASHINGTON","864","236","46","22","2","12","4","86","31424","44171","634","22306","1146","99,681","598","8952"
"WICOMICO","417","143","32","15","1","17","4","69","26732","24025","333","13775","890","65,755","8","3640"
"WORCESTER","193","78","13","15","0","17","4","49","13797","19279","222","8586","570","42,454","0","2472"
"TOTAL","28,359","14,742","2,196","974","63","1,066","312","4,611","2,235,917","991,122","17,712","846,926","52,713","4,144,390","19,651","261,112"
