"SUMMARY","REMOVALS
NEW REGISTRATION BY PARTY","","","","","","","","","","","","","","",""
"","DEM","REP","NLM","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","NLM","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","19","4","0","0","6","0","29","53","BOARD ACTION","0","0","0","0","0","0","0"
"BY MAIL","167","55","0","2","49","4","277","562","CONFIRMATION MAIL","38","12","0","0","12","3","65"
"DESIGNATED STATE AGENCIES","277","102","0","2","261","18","660","58","COUNTY TRANSFER - OUT","6,153","1,881","0","75","2,465","141","10,715"
"ELDERLY / DISABLED / SOC SEC","89","29","0","3","47","3","171","2","CRIMINAL CONVICTION","35","4","0","0","11","1","51"
"ERIC REPORT","2596","776","0","30","1069","61","4,532","6","DEATH NOTICE","2,395","960","0","6","304","26","3,691"
"FROM ANOTHER BOARD","0","0","0","0","0","0","0","0","DUPLICATE","61","27","0","0","30","4","122"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","4,797","2,526","0","81","2,515","152","10,071"
"IN PERSON","14","4","0","0","12","0","30","34","MENTAL INCOMPETENCY","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","5879","2597","0","104","5328","229","14,137","409","MOVED OUT OF STATE","239","187","0","4","92","5","527"
"NVRA BY MAIL","6","1","0","0","4","1","12","2","OTHER","10","5","0","0","9","1","25"
"ONLINE REGISTRATION","603","378","0","16","339","5","1,341","11","VOTER REQUEST","105","38","0","5","30","5","183"
"OTHER MEANS","395","72","0","0","162","13","642","97","","","","","","","",""
"RECRUITING","0","0","0","0","0","0","0","0","","","","","","","",""
"SAME DAY REGISTRATION","0","0","0","0","0","0","0","1","","","","","","","",""
"SOCIAL SERVICES","0","0","0","0","1","0","1","0","","","","","","","",""
"VOLUNTEER","50","46","0","2","53","5","156","0","","","","","","","",""
"TOTAL","10,095","4,064","0","159","7,331","339","21,988","1,235","TOTAL","13,833","5,640","0","171","5,468","338","25,450"
