"COUNTY","CHANGES","","PARTY AFFILIATION FROM","","","","","","","TOTAL ACTIVE REGISTRATION","","","","","","","ACTIVITY",""
"","ADDRESS","NAME","DEM","REP","NLM","LIB","UNAF","OTH","TOTAL","DEM","REP","NLM","LIB","UNAF","OTH","TOTAL","CONF 
MAILING","INACTIVE"
"ALLEGANY","338","144","48","22","0","2","27","9","108","10946","22648","0","261","9001","571","43,427","0","3563"
"ANNE ARUNDEL","3187","2006","375","224","0","18","280","70","967","172730","128951","16","2496","105269","4324","413,786","0","33922"
"BALTIMORE CITY","7700","4327","672","170","2","12","298","125","1,279","296108","28400","26","1192","62566","5905","394,197","0","25921"
"BALTIMORE CO.","5508","4043","674","305","0","18","328","103","1,428","306276","137055","33","2661","117601","7846","571,472","0","33420"
"CALVERT","396","300","57","42","0","2","67","12","180","23477","28049","5","460","16404","738","69,133","0","5647"
"CAROLINE","133","67","16","10","0","1","19","3","49","6064","10702","1","125","4864","260","22,016","0","1467"
"CARROLL","641","528","94","95","0","10","74","21","294","33173","63488","4","852","30368","1341","129,226","70","7095"
"CECIL","369","411","262","26","0","4","199","20","511","19520","33771","3","493","17604","929","72,320","0","5696"
"CHARLES","985","596","148","30","0","5","47","9","239","74828","22962","10","441","24372","1208","123,821","0","10227"
"DORCHESTER","246","85","25","8","0","0","12","1","46","9521","9229","0","115","4221","262","23,348","0","1077"
"FREDERICK","1606","1129","244","135","0","10","141","22","552","77554","67917","12","1245","52948","1738","201,414","0","15153"
"GARRETT","111","68","13","6","0","1","9","1","30","3536","13710","0","110","3090","207","20,653","0","1255"
"HARFORD","1488","931","189","134","0","5","109","28","465","64422","80499","5","1254","44691","2236","193,107","0","12869"
"HOWARD","1769","1226","250","147","0","7","156","25","585","121196","48131","19","965","61771","2503","234,585","0","15107"
"KENT","125","72","11","5","0","0","8","2","26","5770","5297","0","69","2778","143","14,057","0","846"
"MONTGOMERY","7254","8237","1,617","528","3","26","668","140","2,982","406206","97862","55","2361","171099","7201","684,784","0","66279"
"PR. GEORGE'S","6630","4989","1,133","160","2","15","374","147","1,831","454311","38492","33","1534","97563","12544","604,477","0","42739"
"QUEEN ANNE'S","285","152","33","31","0","2","22","4","92","11031","20046","2","233","8867","391","40,570","0","2193"
"ST. MARY'S","566","329","74","37","0","2","76","5","194","24800","31918","6","490","17906","846","75,966","0","7943"
"SOMERSET","144","46","13","4","0","0","7","1","25","5440","6136","0","66","2518","167","14,327","0","534"
"TALBOT","220","108","24","9","0","0","10","5","48","10543","11631","0","160","6049","277","28,660","0","1738"
"WASHINGTON","889","507","107","56","1","2","68","23","257","30839","44200","2","655","23794","1185","100,675","0","11060"
"WICOMICO","614","273","61","43","1","1","23","6","135","26203","23950","1","361","14769","912","66,196","0","4743"
"WORCESTER","399","145","36","32","0","0","21","10","99","13601","19485","1","237","9067","565","42,956","0","3049"
"TOTAL","41,603","30,719","6,176","2,259","9","143","3,043","792","12,422","2,208,095","994,529","234","","18,836 909,180","54,299","4,185,173","70","313,543"
