"","SUMMARY","REMOVALS
NEW REGISTRATION BY PARTY","","","","","","","","","","","","","","",""
"","","DEM","REP","NLM","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","NLM","LIB","UNAF","OTH","TOTAL"
"","ABSENTEE BALLOT (FPCA)","109","34","0","0","25","1","169","41","BOARD ACTION","0","0","0","0","0","0","0"
"","BY MAIL","343","108","1","6","90","12","560","240","CONFIRMATION MAIL","5","4","0","0","1","0","10"
"","DESIGNATED STATE AGENCIES","267","77","2","1","240","12","599","40","COUNTY TRANSFER - OUT","6,651","1,797","0","68","2,541","199","11,256"
"","ELDERLY / DISABLED / SOC SEC","302","108","4","6","166","8","594","1","CRIMINAL CONVICTION","38","10","0","0","13","1","62"
"","ERIC REPORT","2240","592","0","22","905","69","3,828","5","DEATH NOTICE","2,360","1,205","0","3","459","40","4,067"
"","FROM ANOTHER BOARD","0","0","0","0","0","0","0","0","DUPLICATE","334","99","0","5","118","12","568"
"","PROVISIONAL BALLOT","0","0","0","0","1","0","1","0","MAIL VERIFICATION (NVRA)","75","43","0","0","3","1","122"
"","IN PERSON","50","24","1","0","14","0","89","5","MENTAL INCOMPETENCY","0","0","0","0","0","0","0"
"","MOTOR VEHICLE ADMINISTRATION","8150","3078","1","121","6747","328","18,425","712","MOVED OUT OF STATE","227","98","0","1","85","1","412"
"","NVRA BY MAIL","29","10","0","0","13","0","52","10","OTHER","33","9","0","0","33","1","76"
"","ONLINE REGISTRATION","881","390","26","11","565","14","1,887","0","VOTER REQUEST","152","69","0","1","38","5","265"
"","OTHER MEANS","203","28","2","2","96","9","340","22","","","","","","","",""
"","RECRUITING","0","0","0","0","0","0","0","0","","","","","","","",""
"","SAME DAY REGISTRATION","0","0","0","0","0","0","0","0","","","","","","","",""
"","SOCIAL SERVICES","3","1","0","0","0","0","4","0","","","","","","","",""
"","VOLUNTEER","303","57","0","6","174","6","546","0","","","","","","","",""
"","TOTAL","12,880","4,507","37","175","9,036","459","27,094","1,076","TOTAL","9,875","3,334","0","78","3,291","260","16,838"
