"NEW REGISTRATION BY PARTY
REMOVALS
SUMMARY","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","DEM","REP","NLM","LIB","UNAF","OTH","TOTAL","DUPS","","","DEM","REP","NLM","LIB","UNAF","OTH","TOTAL",""
"ABSENTEE BALLOT (FPCA)","","67","15","0","0","27","4","113","48","BOARD ACTION","","0","1","0","0","0","0","1",""
"BY MAIL","","292","152","2","6","125","8","585","186","CONFIRMATION MAIL","","8,456","3,194","6","83","4,774","176","16,689",""
"DESIGNATED STATE AGENCIES","","377","122","0","2","301","11","813","58","COUNTY TRANSFER - OUT","","7,014","1,843","18","82","2,691","191","11,839",""
"ELDERLY / DISABLED / SOC SEC","","252","74","5","3","139","5","478","0","CRIMINAL CONVICTION","","49","12","0","0","23","8","92",""
"ERIC REPORT","","539","134","0","4","237","15","929","1","DEATH NOTICE","","1,760","829","1","3","421","56","3,070",""
"FROM ANOTHER BOARD","","0","0","0","0","0","0","0","0","DUPLICATE","","77","12","0","0","33","3","125",""
"PROVISIONAL BALLOT","","4","0","0","0","0","0","4","5","MAIL VERIFICATION (NVRA)","","0","0","0","0","0","0","0",""
"IN PERSON","","59","25","0","0","26","0","110","7","MENTAL INCOMPETENCY","","0","0","0","0","0","0","0",""
"MOTOR VEHICLE ADMINISTRATION","","13,311","4,658","567","189","10,554","372","29,651","929","MOVED OUT OF STATE","","167","135","0","3","96","4","405",""
"NVRA BY MAIL","","19","17","0","1","18","0","55","4","OTHER","","22","18","3","0","34","1","78",""
"ONLINE REGISTRATION","","2,145","934","86","39","1,230","36","4,470","13","VOTER REQUEST","","223","67","1","2","84","10","387",""
"OTHER MEANS","","501","64","2","5","121","16","709","44","","","","","","","","","",""
"RECRUITING","","0","0","0","0","0","0","0","0","","","","","","","","","",""
"SAME DAY REGISTRATION","","3","0","0","0","0","0","3","0","","","","","","","","","",""
"SOCIAL SERVICES","","0","0","0","0","0","0","0","0","","","","","","","","","",""
"VOLUNTEER","","29","11","2","0","13","1","56","0","","","","","","","","","",""
"TOTAL","","17,598","6,206","664","249","12,791","468","37,976","1,295","TOTAL","","17,768","6,111","29","173","15,059","449","32,686",""
