"COUNTY","CHANGES","","PARTY AFFILIATION FROM","","","","","","","","TOTAL ACTIVE REGISTRATION","","","","","","","","ACTIVITY",""
"","ADDRESS","NAME","DEM","REP","NLM","LIB","GRN","UNAF","OTH","TOTAL","DEM","REP","NLM","LIB","GRN","UNAF","OTH","TOTAL","CONF 
MAILING","INACTIVE"
"ALLEGANY","283","230","35","20","1","2","0","28","7","93","10937","23617","75","284","56","8928","487","44,384","159","2730"
"ANNE ARUNDEL","1065","288","468","196","30","31","8","786","77","1,596","173088","130262","813","2474","465","104811","3611","415,524","6225","24038"
"BALTIMORE CITY","1394","317","201","47","15","4","3","203","30","503","302977","29866","795","1276","753","65166","5065","405,898","6614","13084"
"BALTIMORE CO.","3705","3338","817","290","74","38","17","909","172","2,317","310449","141796","989","2735","716","121156","6873","584,714","12174","16027"
"CALVERT","679","515","177","78","4","7","5","180","20","471","23785","29168","126","464","60","16801","622","71,026","1567","2768"
"CAROLINE","229","130","15","16","1","1","1","21","5","60","6015","11187","51","128","25","4939","218","22,563","70","912"
"CARROLL","720","424","158","75","3","11","1","172","26","446","33460","65142","169","849","138","30974","1199","131,931","768","4530"
"CECIL","464","582","85","69","4","3","1","137","13","312","19261","35933","154","489","68","17426","818","74,149","405","3299"
"CHARLES","949","901","379","93","19","12","2","340","39","884","77094","24057","231","472","119","25595","1089","128,657","429","5364"
"DORCHESTER","290","183","32","8","0","0","0","22","6","68","9649","9712","41","124","17","4388","251","24,182","68","578"
"FREDERICK","791","620","219","70","15","18","5","312","49","688","79386","69676","313","1268","231","54519","1451","206,844","1019","9192"
"GARRETT","165","117","24","23","1","3","1","34","7","93","3480","14125","31","107","16","3126","181","21,066","72","796"
"HARFORD","1802","1491","307","144","9","20","3","211","37","731","65110","82836","388","1298","165","45957","1986","197,740","1284","7252"
"HOWARD","2519","2386","851","288","31","22","10","757","96","2,055","124713","49444","446","1001","291","64521","2156","242,572","5385","8341"
"KENT","139","80","24","9","3","1","0","17","3","57","5742","5563","21","72","14","2847","128","14,387","51","905"
"MONTGOMERY","1126","3114","1,300","304","58","54","28","1,628","212","3,584","414527","102570","1293","2583","920","178426","6056","706,375","0","35431"
"PR. GEORGE'S","7276","7720","2,307","437","106","69","21","1,776","354","5,070","463687","42330","1288","1725","676","104474","11554","625,734","13381","44010"
"QUEEN ANNE'S","451","302","44","40","2","4","1","61","7","159","11288","20837","67","235","46","9018","329","41,820","501","1250"
"ST. MARY'S","367","284","46","26","1","0","1","41","4","119","25161","33468","128","525","70","18361","724","78,437","1270","4636"
"SOMERSET","208","84","23","9","1","1","2","19","2","57","5403","6357","28","76","16","2576","150","14,606","107","323"
"TALBOT","217","151","55","25","1","6","0","63","6","156","10640","11851","53","177","23","6132","243","29,119","133","2026"
"WASHINGTON","1075","882","155","65","1","14","2","94","13","344","31120","45883","201","664","129","24697","984","103,678","394","5677"
"WICOMICO","1031","516","168","94","11","8","0","199","34","514","26481","24969","160","400","71","15452","812","68,345","423","2631"
"WORCESTER","304","178","54","33","2","2","0","55","10","156","13708","20151","68","248","42","9237","509","43,963","282","2363"
"TOTAL","27,249","24,833","7,944","2,459","393","331","112","8,065","1,229","20,533","2,247,161","1,030,800","7,929","19,674","5,127","939,527","47,496","4,297,714","52,781","198,163"
