"SUMMARY","","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","",""
"","","DEM","REP","GRN","UNA","OTH","TOTAL","DUPS","","","DEM","REP","GRN","UNA","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","","38","14","0","15","6","73","5","BOARD ACTION","","0","0","0","0","0","0"
"BY MAIL","","328","126","0","172","21","647","105","CONFIRMATION MAIL","","18","4","0","4","0","26"
"DESIGNATED STATE AGENCIES","","369","155","0","335","12","871","40","COUNTY TRANSFER - OUT","","4,791","1,792","18","2,297","218","9,116"
"ELDERLY / DISABLED / SOC SEC","","137","44","0","89","11","281","0","CRIMINAL CONVICTION","","55","10","0","23","5","93"
"ERIC REPORT","","342","192","4","300","30","868","4","DEATH NOTICE","","3,566","1,998","5","876","71","6,516"
"FROM ANOTHER BOARD","","0","0","0","0","0","0","0","DUPLICATE","","206","68","3","94","8","379"
"PROVISIONAL BALLOT","","163","20","0","47","2","232","62","MAIL VERIFICATION (NVRA)","","4,909","1,550","10","2,524","206","9,199"
"IN PERSON","","79","27","0","27","4","137","79","MENTAL INCOMPETENCY","","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","","7241","4003","13","6355","740","18,352","449","MOVED OUT OF STATE","","244","119","0","94","6","463"
"NVRA BY MAIL","","6","4","0","5","0","15","21","OTHER","","18","12","0","13","1","44"
"ONLINE REGISTRATION","","160","50","2","80","5","297","3","VOTER REQUEST","","101","45","0","50","2","198"
"OTHER MEANS","","51","18","0","38","3","110","8","","","","","","","",""
"RECRUITING","","0","0","0","0","0","0","5","","","","","","","",""
"SAME DAY REGISTRATION","","17","6","0","4","0","27","16","","","","","","","",""
"SOCIAL SERVICES","","0","0","0","0","0","0","0","","","","","","","",""
"VOLUNTEER","","7","1","0","3","0","11","0","","","","","","","",""
"TOTAL","","8,938","4,660","19","7,470","834","21,921","797","TOTAL","","13,908","5,598","36","5,975","517","26,034"
