COUNTY,ADDRESS,NAME,DEM,REP,GRN,CONST,LIB,POP,UNAF,OTH,TOTAL,DEM_ACTIVE,REP_ACTIVE,GRN_ACTIVE,CONST_ACTIVE,LIB_ACTIVE,POP_ACTIVE,UNAF_ACTIVE,OTH_ACTIVE,TOTAL_ACTIVE,"CONF 
MAILING",INACTIVE
ALLEGANY,151,52,16,13,0,0,0,0,11,2,42,"16,911","19,643",104,6,47,1,"4,290",418,"41,420",5,"2,383"
ANNE ARUNDEL,970,324,90,79,3,0,0,0,196,0,368,"134,330","118,634",855,75,524,14,"53,470",74,"307,976",4,"16,695"
BALTIMORE CITY,"1,289",319,173,142,26,0,9,1,390,10,751,"260,785","31,220","1,580",53,294,22,"33,247",894,"328,095",1,"19,768"
BALTIMORE CO.,"1,795","1,031",425,390,21,1,8,0,796,251,"1,892","269,180","125,361","1,248",70,694,3,"52,786","5,659","455,001",14,"29,384"
CALVERT,121,39,27,43,1,0,0,0,74,8,153,"20,465","20,983",97,7,66,0,"7,868",465,"49,951",16,"5,329"
CAROLINE,47,15,10,6,0,0,0,0,7,3,26,"6,868","6,600",26,8,56,1,"2,387",138,"16,084",0,812
CARROLL,422,197,138,106,4,0,6,0,146,4,404,"32,601","51,913",228,21,137,1,"13,701",13,"98,615",63,"6,604"
CECIL,142,28,15,9,0,0,0,0,19,1,44,"21,899","20,291",111,29,91,1,"8,871",688,"51,981",13,"4,486"
CHARLES,459,138,46,77,0,0,1,0,130,9,263,"38,452","25,814",101,17,79,3,"11,692",878,"77,036",19,"3,955"
DORCHESTER,170,43,22,19,0,0,0,0,23,5,69,"9,613","6,607",21,4,20,1,"1,830",175,"18,271",50,804
FREDERICK,538,263,119,99,5,0,2,0,209,0,434,"45,763","56,990",330,6,192,2,"22,332",45,"125,660",2,"15,007"
GARRETT,66,8,12,8,0,0,1,0,21,3,45,"5,081","10,997",25,3,22,1,"1,345",199,"17,673",0,389
HARFORD,274,233,95,66,0,0,3,0,104,3,271,"59,149","58,174",245,18,170,2,"17,567",174,"135,499",1,"10,602"
HOWARD,734,218,79,102,8,0,0,0,150,14,353,"76,714","55,769",440,17,256,3,"29,689","1,568","164,456",1,"15,411"
KENT,75,15,11,14,0,0,0,0,13,0,38,"6,054","4,307",39,0,13,1,"1,416",123,"11,953",0,80
MONTGOMERY,"2,620","1,037",337,565,29,2,6,0,983,5,"1,927","273,234","125,534","1,392",52,633,14,"105,755",364,"506,978",13,"35,006"
PR. GEORGE'S,"2,516",464,18,19,0,1,3,0,58,86,185,"323,009","48,573",597,63,400,22,"26,649","36,031","435,344",173,"31,241"
QUEEN ANNE'S,166,40,19,7,1,0,1,0,45,4,77,"10,808","13,169",50,5,67,1,"3,694",227,"28,021",1,864
ST. MARY'S,212,42,16,26,0,1,0,0,60,4,107,"22,248","20,787",129,18,80,0,"8,109",571,"51,942",4,"2,331"
SOMERSET,57,23,13,9,0,0,0,0,10,0,32,"6,789","3,967",10,2,7,0,"1,240",99,"12,114",8,921
TALBOT,187,33,17,13,0,0,0,0,8,5,43,"10,102","11,338",55,6,68,2,"3,526",313,"25,410",0,"1,117"
WASHINGTON,487,152,116,82,3,0,1,0,123,18,343,"30,361","36,387",206,13,114,3,"11,308",909,"79,301",0,"6,026"
WICOMICO,512,123,68,48,2,0,2,0,57,4,181,"23,007","18,729",80,9,80,0,"6,888",577,"49,370",4,"2,401"
WORCESTER,204,59,27,18,3,0,0,0,45,9,102,"15,425","13,135",68,6,58,2,"4,671",437,"33,802",0,"2,290"
TOTAL,"14,214","4,896","1,909","1,960",106,5,43,1,"3,678",448,"8,150","1,718,848","904,922","8,037",508,"4,168",100,"434,331","51,039","3,121,953",392,"213,906"
