COUNTY,ADDRESS,NAME,DEM,REP,GRN,CON,IND,LIB,UNAF,OTH,TOTAL,DEM_ACTIVE,REP_ACTIVE,GRN_ACTIVE,CON_ACTIVE,IND_ACTIVE,LIB_ACTIVE,UNAF_ACTIVE,OTH_ACTIVE,TOTAL_ACTIVE,"CONF 
MAILING",INACTIVE
ALLEGANY,113,37,13,8,2,0,0,0,3,0,26,"16,622","19,349",128,6,397,104,"4,825",455,"41,886",13,"2,999"
ANNE ARUNDEL,"1,244",424,132,104,3,0,12,1,99,4,355,"143,897","117,674",815,47,"4,317","1,013","57,047",85,"324,895","1,870","27,282"
BALTIMORE CITY,"1,030",510,60,26,1,0,4,0,53,4,148,"287,273","31,413","1,413",21,"1,948",662,"37,507","1,324","361,561","1,155","21,693"
BALTIMORE CO.,"1,184",952,168,106,2,0,8,4,92,16,396,"286,114","125,061","1,278",55,"4,461","1,349","58,669","5,571","482,558",339,"36,549"
CALVERT,109,62,25,5,0,0,2,0,14,2,48,"23,007","21,756",117,9,556,141,"9,169",511,"55,266",24,"3,827"
CAROLINE,46,25,5,2,0,0,0,0,2,0,9,"7,495","7,140",36,3,192,55,"2,787",82,"17,790",16,"1,129"
CARROLL,146,98,25,13,1,0,2,1,12,1,55,"33,253","52,647",244,36,"1,348",278,"15,518",11,"103,335",147,"6,737"
CECIL,116,26,18,11,0,0,0,0,8,0,37,"24,183","22,177",138,20,624,193,"10,530",750,"58,615",9,"5,991"
CHARLES,164,283,16,33,0,0,0,1,18,1,69,"49,240","24,496",129,11,"1,052",186,"12,429",563,"88,106",66,"7,279"
DORCHESTER,31,16,7,3,0,0,2,0,4,0,16,"10,260","6,802",26,1,143,40,"2,053",154,"19,479",9,"1,161"
FREDERICK,373,235,31,34,0,0,0,2,37,2,106,"51,588","56,383",349,25,"1,579",412,"24,578",42,"134,956",173,"11,373"
GARRETT,43,21,5,8,0,0,0,0,2,1,16,"5,070","11,040",37,3,179,42,"1,596",196,"18,163",2,"1,392"
HARFORD,"1,304","1,328",74,33,0,0,5,1,33,2,148,"62,160","61,210",269,21,"1,595",456,"20,346",639,"146,696","2,017","8,143"
HOWARD,333,186,32,30,1,0,3,1,18,4,89,"84,151","53,705",428,22,"2,484",484,"30,762","1,754","173,790","2,888","15,935"
KENT,30,10,1,1,1,0,0,0,0,0,3,"6,158","4,328",40,2,123,32,"1,498",126,"12,307",41,749
MONTGOMERY,"1,823",548,119,80,3,0,11,3,119,9,344,"317,410","121,529","1,389",38,"8,203","1,237","109,638","2,503","561,947","1,604","52,892"
PR. GEORGE'S,"1,648","1,575",118,99,5,0,4,2,47,50,325,"397,583","46,259",677,27,"2,794",673,"38,072","25,642","511,727","3,446","7,115"
QUEEN ANNE'S,51,68,24,11,0,0,1,0,6,0,42,"11,086","13,543",61,3,278,94,"3,942",218,"29,225",38,"2,346"
ST. MARY'S,162,31,20,8,0,0,0,0,16,1,45,"24,513","22,441",144,7,524,169,"9,420",540,"57,758",69,"5,080"
SOMERSET,63,30,12,6,0,0,0,0,0,0,18,"7,311","4,071",19,1,105,20,"1,412",107,"13,046",3,674
TALBOT,75,34,15,6,0,0,2,0,3,1,27,"10,048","10,781",51,1,212,72,"3,349",303,"24,817",21,"3,311"
WASHINGTON,631,123,36,15,0,0,0,0,13,0,64,"31,169","35,800",209,18,"1,718",218,"12,443",50,"81,625","1,234","8,741"
WICOMICO,179,78,19,11,1,0,1,1,5,3,41,"24,921","19,233",104,11,554,136,"7,473",542,"52,974",24,"4,379"
WORCESTER,88,38,18,7,0,0,2,0,16,4,47,"15,454","13,384",65,1,368,99,"4,824",450,"34,645",10,"2,946"
TOTAL,"10,986","6,738",993,660,20,0,59,17,620,105,"2,474","1,929,966","902,222","8,166",389,"35,754","8,165","479,887","42,618","3,407,167","15,218","239,723"
