COUNTY,ADDRESS,NAME,DEM,REP,GRN,CON,LIB,UNAF,OTH,TOTAL,DEM_ACTIVE,REP_ACTIVE,GRN_ACTIVE,CON_ACTIVE,LIB_ACTIVE,UNAF_ACTIVE,OTH_ACTIVE,TOTAL_ACTIVE,"CONF 
MAILING",INACTIVE
ALLEGANY,141,34,10,7,0,0,0,4,1,22,"16,364","19,773",127,13,127,"5,452",432,"42,288","1,594","3,086"
ANNE ARUNDEL,675,354,55,45,2,0,3,37,0,142,"143,983","120,210",822,90,"1,150","62,472",164,"328,891","13,983","17,769"
BALTIMORE CITY,812,388,47,22,1,0,4,37,1,112,"291,011","32,192","1,416",41,738,"41,121","1,365","367,884","3,728","14,434"
BALTIMORE CO.,"2,063",695,103,70,2,2,5,54,9,245,"279,396","124,962","1,273",95,"1,491","63,173","5,308","475,698","2,091","50,868"
CALVERT,100,56,3,6,0,0,0,6,0,15,"22,410","21,887",112,13,153,"9,702",496,"54,773",105,"5,590"
CAROLINE,23,11,1,2,0,0,0,3,1,7,"7,065","7,283",32,8,48,"2,815",108,"17,359",16,"1,256"
CARROLL,464,70,18,18,0,0,1,8,2,47,"32,523","53,892",245,57,319,"16,433",772,"104,241",811,"7,895"
CECIL,80,56,8,8,1,0,0,6,1,24,"24,170","22,791",139,32,201,"11,375",843,"59,551",359,"5,960"
CHARLES,469,129,11,12,0,0,0,7,2,32,"52,227","25,089",140,24,202,"14,187",585,"92,454",745,"6,835"
DORCHESTER,102,16,1,0,0,0,0,1,0,2,"10,077","6,879",24,4,43,"2,183",143,"19,353",184,964
FREDERICK,213,185,24,26,0,0,2,21,5,78,"50,969","56,983",356,37,455,"26,429",51,"135,280",32,"8,624"
GARRETT,18,4,9,0,0,0,0,2,0,11,"4,789","11,186",37,4,42,"1,757",181,"17,996",11,"1,141"
HARFORD,291,146,29,23,1,0,1,12,2,68,"61,668","63,441",284,39,541,"22,770",755,"149,498",288,"9,900"
HOWARD,333,130,24,29,2,0,0,21,3,79,"85,255","54,572",436,47,586,"34,276","1,817","176,989",870,"18,367"
KENT,14,12,2,4,0,0,0,0,0,6,"5,928","4,337",37,3,35,"1,553",128,"12,021",12,"1,089"
MONTGOMERY,"1,619",763,95,73,2,0,2,104,1,277,"324,868","122,552","1,459",71,"1,453","124,142",632,"575,177","4,893","23,126"
PR. GEORGE'S,"1,276",673,76,38,1,0,1,55,36,207,"407,615","46,528",733,71,768,"44,857","22,063","522,635","2,910","8,042"
QUEEN ANNE'S,27,13,3,4,0,0,0,3,0,10,"11,146","14,295",63,8,98,"4,475",205,"30,290",0,"2,070"
ST. MARY'S,152,45,6,11,0,0,0,7,0,24,"24,281","23,470",140,14,200,"10,300",503,"58,908",450,"6,135"
SOMERSET,19,11,0,0,0,0,0,0,0,0,"7,111","4,374",21,4,30,"1,551",119,"13,210",86,878
TALBOT,14,8,2,1,0,0,0,1,0,4,"10,160","11,082",53,8,88,"3,684",318,"25,393",8,"3,208"
WASHINGTON,265,77,19,17,0,0,0,9,0,45,"30,737","36,684",217,30,238,"14,169",89,"82,164",708,"7,641"
WICOMICO,197,244,11,11,0,0,0,7,0,29,"25,063","19,863",115,11,165,"8,257",663,"54,137",54,"3,181"
WORCESTER,95,25,8,5,0,0,0,2,1,16,"15,117","13,671",67,4,101,"5,213",408,"34,581",124,"4,018"
TOTAL,"9,462","4,145",565,432,12,2,19,407,65,"1,502","1,943,933","917,996","8,348",728,"9,272","532,346","38,148","3,450,771","34,062","212,077"
