COUNTY,ADDRESS,NAME,DEM,REP,AME,GRN,LIB,UNAF,OTH,TOTAL,DEM_ACTIVE,REP_ACTIVE,AME_ACTIVE,GRN_ACTIVE,LIB_ACTIVE,UNAF_ACTIVE,OTH_ACTIVE,TOTAL_ACTIVE,"CONF 
MAILING",INACTIVE
ALLEGANY,419,71,45,18,0,3,1,10,3,80,"15,613","20,261",1,117,156,"6,128",407,"42,683",268,"2,252"
ANNE ARUNDEL,"3,578",775,213,227,0,3,8,144,6,601,"149,982","125,404",28,841,"1,440","73,158",248,"351,101","1,602","19,811"
BALTIMORE CITY,"2,376",657,33,39,0,3,2,25,7,109,"303,214","31,338",53,"1,291",891,"45,255","1,435","383,477","40,755","27,569"
BALTIMORE CO.,"10,007","3,774",534,398,0,6,15,192,81,"1,226","304,520","134,508",29,"1,339","1,916","80,458","5,789","528,559","8,278","21,080"
CALVERT,578,168,24,25,0,0,1,16,5,71,"23,365","23,471",2,133,199,"11,336",496,"59,002",512,"4,090"
CAROLINE,138,36,7,8,0,0,0,7,0,22,"7,310","7,736",2,33,62,"3,223",143,"18,509",28,"1,295"
CARROLL,"1,691",350,117,112,0,0,3,36,34,302,"32,762","57,431",8,266,425,"20,076",997,"111,965",57,"3,871"
CECIL,590,260,27,20,0,0,0,11,2,60,"23,516","23,832",7,129,240,"12,613",695,"61,032","1,028","5,257"
CHARLES,"1,205",259,47,47,0,0,1,19,1,115,"56,037","24,847",7,122,236,"15,645",538,"97,432",652,"6,452"
DORCHESTER,220,31,13,8,0,0,0,3,0,24,"10,556","7,180",2,26,47,"2,529",124,"20,464",91,"1,203"
FREDERICK,"1,379",515,58,81,0,1,0,32,0,172,"54,389","60,486",12,397,597,"31,989",91,"147,961",101,"7,605"
GARRETT,82,37,10,7,0,0,0,5,2,24,"4,701","11,721",0,39,56,"2,106",194,"18,817",5,"1,002"
HARFORD,"2,530",443,197,124,0,0,7,54,14,396,"62,791","67,310",8,294,680,"27,652","1,219","159,954","1,311","7,041"
HOWARD,"3,158",367,66,108,0,1,1,47,25,248,"91,985","56,424",9,470,747,"40,489","2,449","192,573","2,174","10,271"
KENT,76,24,3,8,0,0,0,1,0,12,"6,137","4,558",0,32,52,"1,773",136,"12,688",49,703
MONTGOMERY,"5,923","1,521",187,192,0,2,5,172,31,589,"350,910","124,869",30,"1,505","1,825","142,881","3,227","625,247","2,851","33,440"
PR. GEORGE'S,"6,336","2,283",169,107,0,1,2,88,86,453,"455,036","47,368",49,774,990,"58,804","18,887","581,908",824,"6,105"
QUEEN ANNE'S,177,52,17,10,0,0,0,0,2,29,"11,452","15,552",4,58,122,"5,630",207,"33,025",483,"1,466"
ST. MARY'S,675,160,15,23,0,0,1,14,1,54,"25,773","26,073",9,140,259,"12,638",454,"65,346",314,"2,491"
SOMERSET,130,26,5,2,0,0,0,2,0,9,"7,015","4,583",6,16,23,"1,621",114,"13,378",15,"1,298"
TALBOT,115,47,12,5,0,0,0,2,2,21,"10,033","11,069",1,51,92,"4,179",258,"25,683",65,"1,415"
WASHINGTON,"1,559",164,46,30,0,2,1,13,7,99,"31,609","38,507",18,228,328,"16,489",295,"87,474","1,108","6,006"
WICOMICO,847,156,31,31,1,0,2,14,7,86,"26,137","20,783",12,113,204,"9,688",645,"57,582",260,"3,073"
WORCESTER,361,99,20,7,0,1,0,6,3,37,"15,063","14,606",7,68,125,"6,154",357,"36,380",127,"2,561"
TOTAL,"44,150","12,275","1,896","1,637",1,23,50,913,319,"4,839","2,079,906","959,917",304,"8,482","11,712","632,514","39,405","3,732,240","62,958","177,357"
