COUNTY,COUNTY_ACTIVE,COUNTY_ACTIVE,COUNTY_ACTIVE,COUNTY_ACTIVE,COUNTY_ACTIVE,COUNTY_ACTIVE,COUNTY_ACTIVE,COUNTY_ACTIVE,COUNTY_ACTIVE,COUNTY_ACTIVE,COUNTY_ACTIVE,COUNTY_ACTIVE,COUNTY_ACTIVE,COUNTY_ACTIVE,COUNTY_ACTIVE,COUNTY_ACTIVE,COUNTY_ACTIVE,COUNTY_ACTIVE,COUNTY_ACTIVE,COUNTY_ACTIVE
,,ADDRESS,NAME,DEM,REP,GRN,LIB,UNAF,OTH,TOTAL,,DEM,REP,GRN,LIB,UNAF,OTH,TOTAL,"CONF 
MAILING",INACTIVE
,ALLEGANY,321,102,99,26,3,13,127,8,276,,"14,812","20,895",106,223,"6,775",319,"43,130",2,"2,288"
,ANNE ARUNDEL,"4,936","1,727",754,444,28,83,"1,750",28,"3,087",,"154,092","132,347",749,"1,995","78,562",593,"368,338",60,"24,583"
,BALTIMORE CITY,"5,337","2,872",334,330,84,46,"1,249",53,"2,096",,"294,992","30,986","1,007","1,185","44,677","1,331","374,178",51,"42,757"
,BALTIMORE CO.,"6,179","3,701","1,258",215,70,101,"1,877",113,"3,634",,"304,684","140,566","1,187","2,531","87,860","4,374","541,202",52,"26,870"
,CALVERT,682,346,136,82,7,11,302,9,547,,"23,504","25,323",134,342,"12,428",395,"62,126",8,"4,245"
,CAROLINE,389,76,52,15,0,3,50,10,130,,"6,845","8,468",25,107,"3,633",139,"19,217",4,"1,087"
,CARROLL,"1,294",383,213,234,24,26,530,29,"1,056",,"32,587","62,571",223,662,"22,852",763,"119,658",9,"3,981"
,CECIL,704,465,214,63,3,11,262,14,567,,"22,405","26,185",127,349,"13,632",569,"63,267",3,"6,205"
,CHARLES,"1,067",544,259,75,3,15,307,14,673,,"61,528","25,552",123,373,"17,108",466,"105,150",10,"7,107"
,DORCHESTER,190,73,67,15,0,2,59,0,143,,"10,195","7,704",23,92,"2,841",109,"20,964",2,"1,241"
,FREDERICK,"2,544","1,122",276,255,28,41,968,8,"1,576",,"58,748","64,580",340,904,"35,575",242,"160,389",3,"10,512"
,GARRETT,138,64,27,22,0,1,52,3,105,,"4,510","12,351",36,86,"2,408",153,"19,544",3,861
,HARFORD,"1,977",906,395,181,22,43,726,43,"1,410",,"63,408","73,596",306,"1,015","32,124","1,044","171,493",15,"8,285"
,HOWARD,"2,778","1,349",324,266,31,45,"1,256",89,"2,011",,"99,486","57,397",407,"1,023","44,679","1,811","204,803",28,"10,375"
,KENT,111,57,37,8,0,0,41,1,87,,"6,081","4,700",18,56,"2,004",120,"12,979",2,624
,MONTGOMERY,"11,253","6,284","1,116",735,101,116,"4,722",208,"6,998",,"368,902","121,841","1,373","2,374","143,735","3,758","641,983",194,"53,126"
,PR. GEORGE'S,"7,060","3,541",518,248,28,37,"1,141",163,"2,135",,"436,837","42,561",758,"1,267","62,917","12,861","557,201",108,"59,654"
,QUEEN ANNE'S,335,165,63,40,1,2,120,3,229,,"10,643","16,672",57,180,"6,152",180,"33,884",0,"2,056"
,ST. MARY'S,874,418,193,83,8,17,286,14,601,,"25,463","28,105",111,385,"13,410",420,"67,894",9,"5,116"
,SOMERSET,117,53,35,4,0,1,8,1,49,,"6,209","4,993",12,35,"1,732",87,"13,068",18,"1,185"
,TALBOT,209,120,44,21,4,7,90,1,167,,"9,905","11,597",41,124,"4,595",199,"26,461",4,"1,278"
,WASHINGTON,"1,275",514,245,105,11,27,380,12,780,,"32,247","40,938",222,521,"18,691",343,"92,962",11,"6,162"
,WICOMICO,666,245,106,46,5,11,164,13,345,,"25,708","21,745",110,296,"10,300",436,"58,595",7,"4,984"
,WORCESTER,424,204,104,39,5,3,96,11,258,,"14,400","15,538",77,188,"6,746",304,"37,253",3,"3,048"
,TOTAL,"50,860","25,331","6,869","3,552",466,662,"16,563",848,"28,960",,"2,088,191","997,211","7,572","16,313","675,436","31,016","3,815,739",606,"287,630"
