COUNTY,COUNTY_ACTIVE,COUNTY_ACTIVE,COUNTY_ACTIVE,COUNTY_ACTIVE,COUNTY_ACTIVE,COUNTY_ACTIVE,COUNTY_ACTIVE,COUNTY_ACTIVE,COUNTY_ACTIVE,COUNTY_ACTIVE,COUNTY_ACTIVE,COUNTY_ACTIVE,COUNTY_ACTIVE,COUNTY_ACTIVE,COUNTY_ACTIVE,COUNTY_ACTIVE,COUNTY_ACTIVE,COUNTY_ACTIVE,COUNTY_ACTIVE,COUNTY_ACTIVE,COUNTY_ACTIVE,COUNTY_ACTIVE,COUNTY_ACTIVE
,,,ADDRESS,NAME,,DEM,REP,GRN,LIB,UNAF,OTH,TOTAL,DEM,REP,GRN,LIB,UNAF,OTH,TOTAL,,"CONF 
MAILING",INACTIVE,
,ALLEGANY,,400,53,,37,16,0,1,21,1,76,"14,314","21,385",122,276,"6,963",313,"43,373",,693,"2,294",
,ANNE ARUNDEL,,"4,458",634,,233,189,5,5,102,14,548,"160,077","136,505",841,"2,582","81,237","1,082","382,324",,"17,574","14,791",
,BALTIMORE CITY,,"3,535",736,,122,55,6,3,58,10,254,"307,477","32,007","1,274","1,399","45,442","1,574","389,173",,"12,093","20,889",
,BALTIMORE CO.,,"4,347","1,322",,344,153,6,12,102,26,643,"309,524","144,375","1,442","2,990","89,037","4,452","551,820",,"1,835","20,674",
,CALVERT,,365,123,,48,26,0,1,17,1,93,"23,752","26,320",140,431,"12,887",393,"63,923",,"2,159","3,410",
,CAROLINE,,165,42,,14,4,0,0,3,1,22,"6,920","9,095",30,116,"3,700",125,"19,986",,"2,617",781,
,CARROLL,,819,188,,63,72,0,1,52,2,190,"32,360","63,579",252,847,"23,331",829,"121,198",,530,"5,462",
,CECIL,,577,123,,36,15,0,0,12,2,65,"22,458","28,318",154,434,"14,217",568,"66,149",,"2,281","4,060",
,CHARLES,,"1,172",180,,69,24,1,1,33,8,136,"65,275","26,000",155,462,"17,622",475,"109,989",,"4,945","5,504",
,DORCHESTER,,219,44,,17,1,0,0,8,0,26,"10,051","7,974",22,108,"2,898",106,"21,159",,287,"1,217",
,FREDERICK,,"1,534",326,,85,87,4,4,65,3,248,"61,351","66,457",432,"1,189","37,167",283,"166,879",,"11,678","8,359",
,GARRETT,,60,31,,5,7,0,1,7,0,20,"4,384","12,719",41,96,"2,378",145,"19,763",,400,975,
,HARFORD,,"1,757",304,,124,84,1,6,64,8,287,"64,561","77,449",383,"1,321","33,965","1,121","178,800",,"10,473","6,422",
,HOWARD,,"1,395",290,,86,69,2,3,68,12,240,"104,753","57,066",511,"1,207","45,825","1,861","211,223",,"1,279","10,656",
,KENT,,115,25,,5,6,0,0,1,0,12,"6,083","4,731",25,61,"2,006",110,"13,016",,159,647,
,MONTGOMERY,,"7,154",666,,143,109,4,9,105,17,387,"384,889","120,205","1,670","2,885","143,014","4,798","657,461",,"15,183","59,209",
,PR. GEORGE'S,,"6,026",787,,171,67,5,3,108,49,403,"458,969","42,966","1,038","1,550","65,514","12,011","582,048",,"35,615","27,515",
,QUEEN ANNE'S,,261,69,,12,11,0,2,11,5,41,"10,790","17,676",86,234,"6,470",175,"35,431",,"1,001","1,499",
,ST. MARY'S,,491,130,,31,26,0,2,28,3,90,"25,753","29,490",129,504,"13,892",399,"70,167",,"4,001","3,996",
,SOMERSET,,135,24,,8,5,0,0,1,2,16,"6,004","5,157",22,50,"1,750",71,"13,054",,254,986,
,TALBOT,,244,61,,14,11,0,0,6,1,32,"10,083","11,786",49,148,"4,833",195,"27,094",,692,998,
,WASHINGTON,,"1,207",193,,63,45,1,2,31,1,143,"32,138","42,434",256,651,"18,718",440,"94,637",,"4,442","6,749",
,WICOMICO,,744,134,,38,18,3,0,20,5,84,"26,562","22,761",144,393,"10,590",431,"60,881",,361,"2,871",
,WORCESTER,,394,74,,32,7,2,1,13,1,56,"14,330","16,464",84,228,"6,904",298,"38,308",,551,"1,709",
,TOTAL,,"37,574","6,559",,"1,800","1,107",40,57,936,172,"4,112","2,162,858","1,022,919","9,302","20,162","690,360","32,255","3,937,856",,"131,103","211,673",
