COUNTY,ADDRESS,NAME,DEM,REP,GRN,LIB,UNAF,OTH,TOTAL,DEM_ACTIVE,REP_ACTIVE,GRN_ACTIVE,LIB_ACTIVE,UNAF_ACTIVE,OTH_ACTIVE,TOTAL_ACTIVE,"CONF 
MAILING",INACTIVE
ALLEGANY,628,102,52,25,2,2,30,3,114,"13,643","21,556",139,290,"7,236",286,"43,150",151,"3,070"
ANNE ARUNDEL,"3,606","1,540",288,241,11,29,272,18,859,"162,122","135,107",819,"2,824","84,082","1,279","386,233","2,072","22,491"
BALTIMORE CITY,"6,285","2,446",317,147,9,16,246,17,752,"304,437","30,630","1,240","1,426","46,573","1,734","386,040",326,"26,113"
BALTIMORE CO.,"4,603","2,192",394,217,11,18,311,34,985,"309,780","142,906","1,415","3,203","92,145","4,496","553,945",60,"27,615"
CALVERT,436,202,37,25,1,1,44,3,111,"23,748","27,572",140,482,"13,436",380,"65,758",706,"4,023"
CAROLINE,92,49,16,8,0,1,13,4,42,"6,796","9,456",26,117,"3,846",111,"20,352",2,"1,049"
CARROLL,"1,150",261,55,74,1,8,53,5,196,"32,324","63,597",263,937,"24,336",817,"122,274",251,"7,592"
CECIL,633,212,75,30,2,5,61,3,176,"21,456","28,275",156,430,"14,310",551,"65,178",447,"7,455"
CHARLES,759,338,83,34,0,4,72,1,194,"68,127","25,003",160,508,"18,304",503,"112,605",27,"7,424"
DORCHESTER,203,55,13,7,1,5,44,0,70,"9,933","8,177",27,110,"3,016",104,"21,367",128,"1,342"
FREDERICK,"2,295",569,131,132,7,9,241,11,531,"64,379","67,384",444,"1,345","39,700",341,"173,593",106,"10,920"
GARRETT,84,39,10,4,0,1,4,0,19,"4,209","12,853",36,112,"2,511",129,"19,850",1,"1,340"
HARFORD,"2,035",837,212,151,9,10,141,8,531,"64,683","78,181",390,"1,391","35,475","1,108","181,228","1,407","9,368"
HOWARD,"1,061",480,116,80,1,4,103,13,317,"108,051","55,720",496,"1,263","48,440","1,793","215,763","1,126","13,673"
KENT,62,25,7,3,0,0,10,1,21,"6,018","4,771",30,78,"2,074",101,"13,072",14,865
MONTGOMERY,"6,005","1,674",382,420,29,43,"1,486",86,"2,446","387,071","113,505","1,574","3,041","142,695","4,639","652,525","4,787","80,990"
PR. GEORGE'S,"5,793","2,427",392,139,7,12,288,42,880,"457,051","40,513","1,046","1,654","67,810","11,378","579,452","6,529","43,630"
QUEEN ANNE'S,207,100,15,23,0,1,23,0,62,"10,796","18,001",71,257,"6,622",178,"35,925",33,"2,112"
ST. MARY'S,562,214,35,28,0,3,22,4,92,"25,648","29,622",137,547,"14,559",413,"70,926",661,"6,325"
SOMERSET,111,26,3,4,1,1,4,2,15,"5,913","5,309",19,61,"1,835",72,"13,209",15,923
TALBOT,127,66,12,16,0,2,15,0,45,"10,227","11,608",45,160,"4,882",187,"27,109",219,"1,501"
WASHINGTON,553,203,47,39,1,5,40,4,136,"32,101","42,516",254,714,"19,434",492,"95,511",43,"9,589"
WICOMICO,505,202,37,21,2,3,26,2,91,"26,544","22,923",136,406,"11,115",422,"61,546",54,"4,139"
WORCESTER,370,138,38,33,0,1,25,1,98,"14,037","17,071",84,251,"6,962",300,"38,705",581,"2,410"
TOTAL,"38,165","14,397","2,767","1,901",95,184,"3,574",262,"8,783","2,169,094","1,012,256","9,147","21,607","711,398","31,814","3,955,316","19,746","295,959"
