COUNTY,ADDRESS,NAME,DEM,REP,BAR,UNAF,OTH,TOTAL,DEM_ACTIVE,REP_ACTIVE,BAR_ACTIVE,UNAF_ACTIVE,OTH_ACTIVE,TOTAL_ACTIVE,"CONF 
MAILING",INACTIVE
ALLEGANY,186,51,28,22,0,18,8,76,13151,21927,5,7576,690,"43,349",12,2402
ANNE ARUNDEL,2457,944,165,185,2,177,80,609,167379,135512,47,89100,4717,"396,755",163,21811
BALTIMORE CITY,3157,1493,171,100,0,151,68,490,304430,30189,49,51612,4461,"390,741",102,19819
BALTIMORE CO.,3487,2051,296,186,0,206,112,800,313357,143195,71,99195,8807,"564,625",65,22767
CALVERT,311,127,27,25,0,23,10,85,23942,27738,4,14172,933,"66,789",2264,3427
CAROLINE,170,42,10,5,0,5,1,21,6665,9702,0,4092,256,"20,715",197,848
CARROLL,705,244,45,67,0,39,29,180,32815,63809,15,25466,1826,"123,931",864,5883
CECIL,291,169,46,19,0,20,10,95,21453,29306,8,15114,1134,"67,015",221,5733
CHARLES,600,281,51,16,0,27,13,107,70380,24534,11,19474,1113,"115,512",125,7142
DORCHESTER,103,52,9,8,0,4,4,25,9816,8453,2,3249,223,"21,743",1,953
FREDERICK,1214,466,61,75,1,104,29,270,67645,67850,19,42073,1758,"179,345",406,10698
GARRETT,94,34,10,8,0,3,4,25,4041,13032,3,2630,255,"19,961",24,1047
HARFORD,1446,412,92,68,0,76,34,270,64887,78955,22,37511,2593,"183,968",910,9036
HOWARD,1013,498,68,119,1,125,46,359,112837,54211,20,51368,3283,"221,719",32,10635
KENT,50,28,8,3,0,3,5,19,5988,4863,1,2252,188,"13,292",6,708
MONTGOMERY,3107,2286,240,245,1,371,157,"1,014",399128,109967,52,148889,9456,"667,492",638,61003
PR. GEORGE'S,5581,3298,410,151,1,227,195,984,464678,39670,76,75066,13496,"592,986",242,31635
QUEEN ANNE'S,328,97,15,16,0,11,2,44,10782,18394,2,7059,485,"36,722",835,1593
ST. MARY'S,669,146,32,32,0,30,12,106,25629,29832,7,15261,1020,"71,749",309,6568
SOMERSET,55,36,6,0,0,2,1,9,5790,5497,0,1967,157,"13,411",23,512
TALBOT,130,64,8,16,0,11,3,38,10379,11624,2,5077,388,"27,470",18,1184
WASHINGTON,771,259,59,52,0,31,27,169,32371,43116,13,20234,1493,"97,227",104,8032
WICOMICO,405,190,43,22,0,28,6,99,26536,23335,9,12104,955,"62,939",186,3365
WORCESTER,423,99,15,9,0,18,5,47,13897,17597,3,7392,609,"39,498",271,2426
TOTAL,"26,753","13,367","1,915","1,449",6,"1,710",861,"5,941","2,207,976","1,012,308",441,"757,933","60,296","4,038,954","8,018","239,227"
